Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код материала	Тип ограждения	Протяженность	Год постройки	Техническое состояние
1237	1359	1	1	2	122		
1237	1359	2	1	2	122		
1379	1410	2	1	1	31		
1491	1593	2	1	1	102		
4698	4790	1	1	2	92		
4698	4790	1	1	2	92		
22090	22121	1	1	1	31		
22090	22121	2	1	1	31		
22121	22161	1	2	7	40		
22121	22161	2	2	7	40		
22121	22161	1	1	10	40		
22121	22161	2	1	10	40		
22161	22181	1	1	1	20		
22161	22181	2	1	1	20		
24742	24842	2	1	1	100		
25408	25458	2	1	1	50		
25753	26038	1	1	2	285		
25834	25967	2	1	2	133		
25987	26038	2	1	2	51		
