Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0.0	50.0	750	150	1
50.0	100.0	750	150	1
100.0	150.0	750	150	1
150.0	200.0	750	150	1
200.0	250.0	750	150	1
250.0	300.0	750	150	1
300.0	350.0	750	150	1
350.0	400.0	750	150	1
400.0	450.0	750	150	1
450.0	500.0	750	150	1
500.0	550.0	750	150	1
550.0	600.0	750	150	1
600.0	650.0	750	150	1
650.0	700.0	750	150	1
700.0	750.0	750	150	1
750.0	800.0	750	150	1
800.0	850.0	750	150	1
850.0	900.0	750	150	1
900.0	950.0	750	150	1
950.0	1000.0	750	150	1
1000.0	1050.0	750	150	1
1050.0	1100.0	750	150	1
1100.0	1150.0	750	150	1
1150.0	1200.0	750	150	1
1200.0	1250.0	750	150	1
1250.0	1300.0	750	150	1
1300.0	1350.0	750	150	1
1350.0	1400.0	750	150	1
1400.0	1450.0	750	150	1
1450.0	1500.0	750	150	1
1500.0	1550.0	750	150	1
1550.0	1600.0	750	150	1
1600.0	1650.0	750	150	1
1650.0	1700.0	750	150	1
1700.0	1750.0	750	150	1
1750.0	1800.0	750	150	1
1800.0	1850.0	750	150	1
1850.0	1900.0	750	150	1
1900.0	1950.0	750	150	1
1950.0	2000.0	750	150	1
2000.0	2050.0	750	150	1
2050.0	2100.0	750	150	1
2100.0	2150.0	750	150	1
2150.0	2200.0	750	150	1
2200.0	2250.0	750	150	1
2250.0	2300.0	750	150	1
2300.0	2350.0	750	150	1
2350.0	2400.0	750	150	1
2400.0	2450.0	750	150	1
2450.0	2500.0	750	150	1
2500.0	2550.0	750	400	4
2550.0	2600.0	750	400	4
2600.0	2650.0	750	400	4
2650.0	2700.0	750	400	4
2700.0	2750.0	750	400	4
2750.0	2800.0	750	400	4
2800.0	2850.0	750	400	4
2850.0	2900.0	750	400	4
2900.0	2950.0	750	400	4
2950.0	3000.0	750	400	4
3000.0	3050.0	750	400	4
3050.0	3100.0	750	400	4
3100.0	3150.0	750	400	4
3150.0	3200.0	750	400	4
3200.0	3250.0	750	400	4
3250.0	3300.0	750	400	4
3300.0	3350.0	750	400	4
3350.0	3400.0	750	400	4
3400.0	3450.0	750	400	4
3450.0	3500.0	750	400	4
3500.0	3550.0	750	400	4
3550.0	3600.0	750	400	4
3600.0	3650.0	750	400	4
3650.0	3700.0	750	400	4
3700.0	3750.0	750	400	4
3750.0	3800.0	750	400	4
3800.0	3850.0	750	400	4
3850.0	3900.0	750	400	4
3900.0	3950.0	750	400	4
3950.0	4000.0	750	400	4
4000.0	4050.0	750	400	4
4050.0	4100.0	750	400	4
4100.0	4150.0	750	400	4
4150.0	4200.0	750	400	4
4200.0	4250.0	750	400	4
4250.0	4300.0	750	400	4
4300.0	4350.0	750	400	4
4350.0	4400.0	750	400	4
4400.0	4450.0	750	400	4
4450.0	4500.0	750	400	4
4500.0	4550.0	750	400	4
4550.0	4600.0	750	400	4
4600.0	4650.0	750	400	4
4650.0	4700.0	750	400	4
4700.0	4750.0	750	400	4
4750.0	4800.0	750	400	4
4800.0	4850.0	750	400	4
4850.0	4900.0	750	400	4
4900.0	4950.0	750	400	4
4950.0	5000.0	750	400	4
5000.0	5050.0	750	400	4
5050.0	5100.0	750	400	4
5100.0	5150.0	750	400	4
5150.0	5200.0	750	400	4
5200.0	5250.0	750	400	4
5250.0	5300.0	750	400	4
5300.0	5350.0	750	400	4
5350.0	5400.0	750	400	4
5400.0	5450.0	750	400	4
5450.0	5500.0	750	400	4
5500.0	5550.0	750	400	4
5550.0	5600.0	750	400	4
5600.0	5650.0	750	400	4
5650.0	5700.0	750	400	4
5700.0	5750.0	750	400	4
5750.0	5800.0	750	400	4
5800.0	5850.0	750	400	4
5850.0	5900.0	750	400	4
5900.0	5950.0	750	400	4
5950.0	6000.0	750	400	4
6000.0	6050.0	750	400	4
6050.0	6100.0	750	400	4
6100.0	6150.0	750	400	4
6150.0	6200.0	750	400	4
6200.0	6250.0	750	400	4
6250.0	6300.0	750	400	4
6300.0	6350.0	750	400	4
6350.0	6400.0	750	400	4
6400.0	6450.0	750	400	4
6450.0	6500.0	750	400	4
6500.0	6550.0	750	400	4
6550.0	6600.0	750	400	4
6600.0	6650.0	750	400	4
6650.0	6700.0	750	400	4
6700.0	6750.0	750	400	4
6750.0	6800.0	750	400	4
6800.0	6850.0	750	400	4
6850.0	6900.0	750	400	4
6900.0	6950.0	750	400	4
6950.0	7000.0	750	400	4
7000.0	7050.0	750	400	4
7050.0	7100.0	750	400	4
7100.0	7150.0	750	400	4
7150.0	7200.0	750	400	4
7200.0	7250.0	750	400	4
7250.0	7300.0	750	400	4
7300.0	7350.0	750	400	4
7350.0	7400.0	750	400	4
7400.0	7450.0	750	400	4
7450.0	7500.0	750	400	4
7500.0	7550.0	750	400	4
7550.0	7600.0	750	400	4
7600.0	7650.0	750	400	4
7650.0	7700.0	750	400	4
7700.0	7750.0	750	400	4
7750.0	7800.0	750	400	4
7800.0	7850.0	750	400	4
7850.0	7900.0	750	400	4
7900.0	7950.0	750	400	4
7950.0	8000.0	750	400	4
8000.0	8050.000000000001	750	400	4
8050.000000000001	8100.0	750	400	4
8100.0	8150.0	750	400	4
8150.0	8200.0	750	400	4
8200.0	8250.0	750	400	4
8250.0	8300.0	750	400	4
8300.0	8350.0	750	400	4
8350.0	8400.0	750	400	4
8400.0	8450.0	750	400	4
8450.0	8500.0	750	400	4
8500.0	8550.0	750	400	4
8550.0	8600.0	750	400	4
8600.0	8650.0	750	400	4
8650.0	8700.0	750	400	4
8700.0	8750.0	750	400	4
8750.0	8800.0	750	400	4
8800.0	8850.0	750	400	4
8850.0	8900.0	750	400	4
8900.0	8950.0	750	400	4
8950.0	9000.0	750	400	4
9000.0	9050.0	750	400	4
9050.0	9100.0	750	400	4
9100.0	9150.0	750	400	4
9150.0	9200.0	750	400	4
9200.0	9250.0	750	400	4
9250.0	9300.0	100	100	3
