Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
86	1	к домам	0	0	0	1	6				0	0	0	2	5	30	90	2		
626	6	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
1073	6	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
1481	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1654	2	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
1786	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1908	6	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2051	6	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2183	6	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2356	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
2529	6	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2713	2	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2916	6	Крым - Ленинская Искра - Высокое	0	0	0	1	6				0	0	0	2	6	36	90	2		
4393	6	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
4851	1	Крым - Гахово - Танеевка	0	0	0	1	6				0	0	0	2	6	36	90	2		
5065	2	"Крым - Гахово - ""Дьяконово - Суджа - граница с Украиной"""	0	0	0	1	6				0	0	0	2	6	36	90	2		
8617	1	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
8699	6	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
9290	1	к ангарам	0	0	0	1	6				0	0	0	2	3	18	90	2		
9411	2	Крым - Гахово - Ильичевский	0	0	0	1	6				0	0	0	2	6	36	90	2		
9646	1	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
9666	2	Крым - Гахово - Александровка	0	0	0	1	6				0	0	0	2	6	36	90	2		
9799	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
9972	1	к домам	0	0	0	1	6				0	0	0	2	3	18	45	2		
10094	1	Крым - Гахово - Гавриловка	0	0	0	1	6				0	0	0	2	3	18	90	2		
10389	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
12161	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
12487	1	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
14372	2	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
15325	1	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
15671	2	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
16148	2	к деревне	0	0	0	1	6				0	0	0	2	3	18	90	2		
18123	6	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
18876	6	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
21551	2	к деревне	0	0	0	1	6				0	0	0	2	6	36	90	2		
21938	6	к деревне	0	0	0	1	6				0	0	0	2	6	36	90	2		
22283	1	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
22415	2	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
22690	2	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
23729	1	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
23953	1	к предприятию	0	0	0	1	6				0	0	0	2	6	36	90	2		
24253	6	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
24400	1	в поле	0	0	0	1	6				0	0	0	2	6	36	90	2		
26058	6	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
26141	2	к деревне	0	0	0	1	6				0	0	0	2	3	18	90	2		
26294	2	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
26772	1	к ангарам	0	0	0	1	6				0	0	0	2	4	24	90	2		
