Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	2341	1	2	2	5
2341	238	1	2	2	3
238	2875	1	2	2	5
2875	2895	1	2	2	3
2895	3462	1	2	2	5
3462	3707	1	2	2	5
3707	3717	1	2	2	3
3717	3869	1	2	2	5
3869	3880	1	2	2	3
3880	4679	1	2	2	5
4679	4801	1	2	2	3
4801	5136	1	2	2	5
5136	5147	1	2	2	3
5147	5497	1	2	2	5
0	2472	2	2	2	5
2472	2524	2	2	2	3
2524	2539	2	2	2	5
2539	2560	2	2	2	3
2560	3157	2	2	2	5
3157	3168	2	2	2	3
3168	3425	2	2	2	5
3425	3442	2	2	2	3
3442	3462	2	2	2	5
3462	3605	2	2	2	5
3605	3610	2	2	2	3
3610	3880	2	2	2	5
3880	3900	2	2	2	3
3900	4094	2	2	2	5
4094	4110	2	2	2	3
4110	4803	2	2	2	5
4803	4821	2	2	2	3
4821	5363	2	2	2	5
5363	5375	2	2	2	3
5375	5406	2	2	2	5
5406	5416	2	2	2	3
5416	5497	2	2	2	5
