Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	0.0	0.0	0.0						
100.0	100.0	4.22	4.77						
200.0	200.0	3.74	4.65						
300.0	300.0	4.94	4.85						
400.0	400.0	4.39	4.75						
500.0	500.0	4.8	4.85						
600.0	600.0	4.16	3.59						
700.0	700.0	5.69	4.27						
800.0	800.0	3.96	5.62						
900.0	900.0	4.36	4.15						
1000.0	1000.0	0.0	5.12						
1100.0	1100.0	3.3	4.61						
1200.0	1200.0	4.42	5.13						
1300.0	1300.0	3.6	4.48						
1400.0	1400.0	5.38	3.41						
1500.0	1500.0	3.32	4.35						
1600.0	1600.0	4.15	4.27						
1700.0	1700.0	4.57	4.48						
1800.0	1800.0	6.12	3.75						
1900.0	1900.0	0.0	4.31						
2000.0	2000.0	7.62	3.89						
2100.0	2100.0	5.41	4.74						
2200.0	2200.0	0.0	0.0						
2271.088	2271.088								
