Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
15	874	1					2		1		
15	668	2					2		1		
681	2380	2					2		1		
889	3555	1					2		1		
2401	3555	2					2		1		
3567	3779	1					2		1		
3567	3779	2					2		1		
3795	4025	1					2		2		
3795	4025	2					2		2		
4043	4355	1					2		2		
4043	4634	2					2		2		
4364	4654	1					2		2		
4634	4888	2					2		1		
4654	4888	1					2		2		
4908	5071	1					2		2		
4908	5148	2					2		2		
5071	5807	1					2		2		
5158	5351	2					2		2		
5370	5428	2					2		2		
5438	5506	2					2		2		
5519	5612	2					2		2		
5642	5804	2					2		2		
5814	5836	1					2		2		
5814	5836	2					2		2		
5847	6686	1					2		2		
5847	7308	2					2		2		
6698	6717	1					2		2		
6738	6931	1					2		2		
6943	7123	1					2		2		
7185	7300	1					2		2		
7308	7389	1					2		2		
7318	7348	2					2		2		
7359	7370	2					2		2		
