Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
23	2	2	2.4		1	1
156	2	2	8.2.1	50 м	1	1
156	2	2	2.4		1	1
737	2	1	2.3.3		1	1
879	2	1	6.10.1	Свиридов 2	2	1
879	1	2	6.10.1	Свиридов 2	2	1
1083	2	2	2.3.2		1	1
1327	2	1	1.11.2		1	1
2039	2	2	1.14		1	1
2039	2	2	1.11.1		1	1
2233	2	1	2.3.2		1	1
2385	1	1	6.10.1	Кондратьевка	7	1
2385	2	2	6.10.1	Кондратьевка	7	1
2539	2	2	2.3.3		1	3
3368	2	1	5.23.1	Высокое	2	1
3368	1	2	5.24.1	Высокое	2	1
3470	2	1	2.3.1		1	1
3470	2	1	1.11.1		1	1
3755	2	2	1.11.2		1	1
3846	2	2	2.3.1		1	2
3917	2	1	2.3.1		1	1
4094	2	2	2.3.1		1	1
4472	2	1	1.11.2		1	1
4472	2	1	1.13		1	1
4949	2	2	1.11.1		1	1
5504	2	1	2.3.2		1	1
5723	2	2	2.3.3		1	1
6702	2	2	2.4		1	1
6998	2	1	1.11.1		1	1
7049	2	1	3.24	40	1	1
