Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	874	1	2	2	5
874	889	1	2	2	3
889	3555	1	2	2	5
3555	3567	1	2	2	3
3567	3779	1	2	2	5
3779	3795	1	2	2	3
3795	4025	1	2	2	5
4025	4043	1	2	2	3
4043	4355	1	2	2	5
4355	4364	1	2	2	3
4364	4654	1	2	2	5
4654	4888	1	2	2	5
4888	4908	1	2	2	3
4908	5071	1	2	2	5
5071	5807	1	2	2	5
5807	5814	1	2	2	3
5814	5836	1	2	2	5
5836	5847	1	2	2	3
5847	6686	1	2	2	5
6686	6698	1	2	2	3
6698	6717	1	2	2	5
6717	6738	1	2	2	3
6738	6931	1	2	2	5
6931	6943	1	2	2	3
6943	7123	1	2	2	5
7123	7185	1	2	2	3
7185	7300	1	2	2	5
7300	7308	1	2	2	3
7308	7389	1	2	2	5
0	668	2	2	2	5
668	681	2	2	2	3
681	2380	2	2	2	5
2380	2401	2	2	2	3
2401	3555	2	2	2	5
3555	3567	2	2	2	3
3567	3779	2	2	2	5
3779	3795	2	2	2	3
3795	4025	2	2	2	5
4025	4043	2	2	2	3
4043	4634	2	2	2	5
4634	4888	2	2	2	5
4888	4908	2	2	2	3
4908	5148	2	2	2	5
5148	5158	2	2	2	3
5158	5351	2	2	2	5
5351	5370	2	2	2	3
5370	5428	2	2	2	5
5428	5438	2	2	2	3
5438	5506	2	2	2	5
5506	5519	2	2	2	3
5519	5612	2	2	2	5
5612	5642	2	2	2	3
5642	5804	2	2	2	5
5804	5814	2	2	2	3
5814	5836	2	2	2	5
5836	5836	2	2	2	3
5847	7308	2	2	2	5
7308	7318	2	2	2	3
7318	7348	2	2	2	5
7348	7359	2	2	2	3
7359	7370	2	2	2	5
