Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	400	2
50	100	750	400	2
100	150	750	400	2
150	200	750	400	2
200	250	750	400	2
250	300	750	400	2
300	350	750	400	2
350	400	750	400	2
400	450	750	400	2
450	500	750	400	2
500	550	750	400	2
550	600	750	400	2
600	650	750	400	2
650	700	750	400	2
700	750	750	400	2
750	800	750	400	2
800	850	750	400	2
850	900	750	400	2
900	950	750	400	2
950	1000	750	400	2
1000	1050	750	400	2
1050	1100	750	400	2
1100	1150	750	400	2
1150	1200	750	400	2
1200	1250	750	400	2
1250	1300	750	400	2
1300	1350	750	400	2
1350	1400	750	400	2
1400	1450	750	400	2
1450	1500	750	400	2
1500	1550	750	200	4
1550	1600	750	200	4
1600	1650	750	200	4
1650	1700	750	200	4
1700	1750	750	200	4
1750	1800	750	200	4
1800	1850	750	200	4
1850	1900	750	400	4
1900	1950	750	400	4
1950	2000	750	400	4
2000	2050	750	400	4
2050	2100	750	400	4
2100	2150	750	400	4
2150	2200	750	400	4
2200	2250	750	400	4
2250	2300	750	400	4
2300	2350	750	400	4
2350	2400	750	400	4
2400	2450	750	400	4
2450	2500	750	400	4
2500	2550	750	400	4
2550	2600	750	400	4
2600	2650	750	400	4
2650	2700	750	400	4
2700	2750	750	400	4
2750	2800	750	400	4
2800	2850	750	400	4
2850	2900	750	400	4
2900	2950	750	400	4
2950	3000	750	400	4
3000	3050	750	400	4
3050	3100	750	400	4
3100	3150	750	400	4
3150	3200	750	400	4
3200	3250	750	400	4
3250	3300	750	400	4
3300	3350	750	400	4
3350	3400	750	400	4
3400	3450	750	400	4
3450	3500	750	400	4
3500	3550	750	400	4
3550	3600	750	400	4
3600	3650	750	400	4
3650	3700	750	400	4
3700	3750	750	400	4
3750	3800	750	400	4
3800	3850	750	400	4
3850	3900	750	400	4
3900	3950	750	400	4
3950	4000	750	400	4
4000	4050	750	400	4
4050	4100	750	400	4
4100	4150	750	400	4
4150	4200	750	400	4
4200	4250	750	400	4
4250	4300	750	400	4
4300	4350	750	400	4
4350	4400	750	400	4
4400	4450	750	400	4
4450	4500	750	400	4
4500	4550	100	100	3
4550	4600	100	100	3
4600	4650	100	100	3
4650	4700	100	100	3
4700	4750	100	100	3
4750	4800	400	400	3
4800	4850	400	400	3
4850	4900	400	400	3
4900	4950	400	400	3
4950	5000	400	400	3
5000	5050	400	400	3
5050	5100	400	400	3
5100	5150	400	400	3
5150	5200	400	400	3
5200	5250	400	400	3
5250	5300	400	400	3
5300	5350	400	400	3
5350	5400	400	400	3
5400	5450	400	400	3
5450	5500	400	400	3
5500	5550	400	400	3
5550	5600	400	400	3
5600	5650	400	400	3
5650	5700	400	400	3
5700	5750	400	400	3
5750	5800	400	400	3
5800	5850	400	400	3
5850	5900	400	400	3
5900	5950	400	400	3
5950	6000	400	400	3
6000	6050	400	400	3
6050	6100	400	400	3
6100	6150	400	400	3
6150	6200	400	400	3
6200	6250	400	400	3
6250	6300	400	400	3
6300	6350	400	400	3
6350	6400	400	400	3
6400	6450	400	400	3
6450	6500	400	400	3
6500	6550	400	400	3
6550	6600	400	400	3
6600	6650	400	400	3
6650	6700	400	400	3
6700	6750	400	400	3
6750	6800	400	400	3
6800	6850	400	400	3
6850	6900	400	400	3
6900	6950	400	400	3
6950	7000	400	400	3
7000	7050	400	400	3
7050	7100	750	100	1
7100	7150	750	100	1
7150	7200	750	100	1
7200	7250	750	100	1
7250	7300	750	100	1
7300	7350	750	100	1
7350	7389	750	100	1
