Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
140	170	1					2		1		
140	200	2					2		1		
200	262	2					2		2		
201	221	1					2		2		
221	273	1					2		2		
285	985	2					2		2		
283	483	1					2		2		
506	1787	1					2		2		
995	1138	2					2		2		
1160	1590	2					2		2		
1610	1775	2					2		2		
1810	1982	2					2		2		
1804	2366	1					2		2		
2005	2145	2					2		2		
2165	2486	2					2		2		
2384	2486	1					2		2		
2527	2562	1					2		2		
2507	3060	2					2		2		
2558	2817	1					2		2		
2838	3052	1					2		2		
3112	3203	2					2		1		
3052	3173	1					2		1		
3183	3234	1					2		1		
3224	3254	2					2		1		
3254	3421	2					2		2		
3254	4930	1					2		2		
3433	4046	2					2		2		
4060	4930	2					2		2		
4942	6145	1					2		2		
4942	5836	2					2		2		
5858	6082	2					2		2		
6100	6130	2					2		2		
