Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
160	2	2	2.4		1	1
679	2	2	2.3.2		1	1
1657	2	1	7.2		1	1
1870	2	1	1.11.1		1	1
1892	2	2	7.2		1	1
1911	2	2	2.3.1		1	1
2155	2	2	1.11.2		1	1
2298	2	1	1.11.2		1	1
2298	2	1	2.3.2		1	1
2588	2	2	2.3.1		1	1
2588	2	2	1.11.1		1	1
2710	2	1	1.11.1		1	1
3077	2	2	1.11.2		1	1
3188	2	1	2.4		1	1
3260	2	2	2.4		1	1
4639	2	1	1.11.2		1	1
5110	2	1	1.13		1	1
5342	2	2	1.11.1		1	1
