Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	170	1	2	2	5
170	201	1	2	2	3
201	221	1	2	2	5
221	273	1	2	2	5
273	283	1	2	2	3
283	483	1	2	2	5
483	506	1	2	2	3
506	1787	1	2	2	5
1787	1804	1	2	2	3
1804	2366	1	2	2	5
2366	2384	1	2	2	3
2384	2486	1	2	2	5
2486	2527	1	2	2	3
2527	2562	1	2	2	5
2562	2558	1	2	2	3
2558	2817	1	2	2	5
2817	2838	1	2	2	3
2838	3052	1	2	2	5
3052	3173	1	2	2	5
3173	3183	1	2	2	3
3183	3234	1	2	2	5
3234	3254	1	2	2	5
3254	4930	1	2	2	5
4930	4942	1	2	2	5
4942	6145	1	2	2	5
0	200	2	2	2	5
200	262	2	2	2	4
262	285	2	2	2	3
285	985	2	2	2	5
985	995	2	2	2	3
995	1138	2	2	2	5
1138	1160	2	2	2	3
1160	1590	2	2	2	5
1590	1610	2	2	2	3
1610	1775	2	2	2	5
1775	1810	2	2	2	3
1810	1982	2	2	2	5
1982	2005	2	2	2	3
2005	2145	2	2	2	5
2145	2165	2	2	2	3
2165	2486	2	2	2	5
2486	2507	2	2	2	3
2507	3060	2	2	2	5
3060	3112	2	2	2	3
3112	3203	2	2	2	5
3203	3224	2	2	2	3
3224	3254	2	2	2	5
3254	3421	2	2	2	5
3421	3433	2	2	2	5
3433	4046	2	2	2	5
4046	4060	2	2	2	5
4060	4930	2	2	2	5
4930	4942	2	2	2	5
4942	5836	2	2	2	5
5836	5858	2	2	2	5
5858	6082	2	2	2	5
6082	6100	2	2	2	5
6100	6130	2	2	2	5
