Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
185	1	к АЗС	0	0	0	1	6.0				0	0	0	2	7	42.0	90	2		
206	1	к шиномонтажу	0	0	0	1	6.0				0	0	0	2	6	36.0	90	2		
277	6	в поле	0	0	0	6	6.0				0	0	0	6	5	30.0	90	2		
482	1	к деревне	0	0	0	1	6.0				0	0	0	2	5	30.0	90	2		
990	2	к деревне	0	0	0	1	6.0				0	0	0	2	5	30.0	90	2		
1153	2	к деревне	0	0	0	1	6.0				0	0	0	2	5	30.0	90	2		
1592	2	к предприятию	0	0	0	1	6.0				0	0	0	2	5	30.0	90	2		
1785	6	к деревне	0	0	0	1	6.0				0	0	0	2	6	36.0	90	2		
1997	2	в поле	0	0	0	1	6.0				0	0	0	2	3	18.0	90	2		
2150	2	к ангарам	0	0	0	1	6.0				0	0	0	2	4	24.0	90	2		
2497	6	к домам	0	0	0	1	6.0				0	0	0	2	4	24.0	90	2		
2558	1	к домам	0	0	0	1	6.0				0	0	0	2	2	12.0	90	2		
2822	1	к домам	0	0	0	1	6.0				0	0	0	2	5	30.0	90	2		
3219	2	Крым - Гахово	0	0	0	1	6.0				0	0	0	2	7	42.0	90	2		
3239	1	Крым - Гахово	0	0	0	1	6.0				0	0	0	2	7	42.0	90	2		
3963	2	к домам	0	0	0	2	4.5				0	0	0	6	2	9.0	90	2		
4055	2	в поле	0	0	0	6	4.5				0	0	0	6	3	13.5	90	2		
4930	6	в поле	0	0	0	6	4.5				0	0	0	6	2	9.0	90	2		
5856	2	в поле	0	0	0	6	4.5				0	0	0	6	2	9.0	90	3		
6090	2	к предприятию	0	0	0	2	4.5				0	0	0	6	7	31.5	90	3		
