Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	50	1	2	2	5
50	244	1	2	2	3
244	254	1	2	2	5
254	977	1	2	2	3
977	987	1	2	2	5
987	1035	1	2	2	3
1035	1088	1	2	2	5
1088	1293	1	2	2	3
1293	1293	1	2	2	5
1293	1414	1	2	2	5
1414	1420	1	2	2	5
1420	1429	1	2	2	5
0	50	2	2	2	5
50	244	2	2	2	3
244	254	2	2	2	5
254	1017	2	2	2	3
1017	1027	2	2	2	5
1027	1293	2	2	2	3
1293	1420	2	2	2	5
1420	1424	2	2	2	5
1424	1429	2	2	2	5
