Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	300	300	3
50	100	300	300	3
100	150	300	300	3
150	200	300	300	3
200	250	300	300	3
250	300	300	300	3
300	350	300	300	3
350	400	300	300	3
400	450	300	300	3
450	500	300	300	3
500	550	750	500	4
550	600	750	500	4
600	650	750	500	4
650	700	750	500	4
700	750	750	500	4
750	800	750	500	4
800	850	750	500	4
850	900	750	500	4
900	950	750	500	4
950	1000	750	500	4
1000	1050	750	500	4
1050	1100	750	500	4
1100	1150	750	500	4
1150	1200	750	500	4
1200	1250	750	100	2
1250	1300	750	100	2
1300	1350	750	100	2
1350	1400	750	100	2
1400	1450	750	100	2
