Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	4.42	17.6						
200.0	300.0	3.67	20.03						
300.0	400.0	3.22	0.0						
400.0	500.0	0.0	0.0						
500.0	600.0	4.16	0.0						
600.0	700.0	8.49	20.76						
700.0	800.0	6.64	14.26						
800.0	900.0	4.89	19.89						
900.0	1000.0	4.99	16.91						
1000.0	1100.0	5.29	10.59						
1100.0	1200.0	5.54	12.62						
1200.0	1300.0	4.21	18.26						
1300.0	1400.0	4.94	13.23						
1400.0	1500.0	0.0	5.71						
1500.0	1600.0	3.32	5.77						
1600.0	1700.0	4.6	0.0						
1700.0	1729.988								
