Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	75	1	2	2	5
75	85	1	2	2	5
85	90	1	2	2	3
90	158	1	2	2	5
158	188	1	2	2	3
188	259	1	2	2	5
259	259	1	2	2	3
259	452	1	2	2	5
452	473	1	2	2	3
473	505	1	2	2	5
505	525	1	2	2	3
525	1084	1	2	2	5
1084	1084	1	2	2	5
1084	1593	1	2	2	5
1593	1503	1	2	2	5
1503	1719	1	2	2	5
0	75	2	2	2	5
75	85	2	2	2	3
85	105	2	2	2	5
105	127	2	2	2	3
127	137	2	2	2	5
137	147	2	2	2	3
147	150	2	2	2	5
150	170	2	2	2	3
170	259	2	2	2	5
259	259	2	2	2	3
259	351	2	2	2	5
351	371	2	2	2	3
371	453	2	2	2	5
453	452	2	2	2	3
452	530	2	2	2	3
530	758	2	2	2	5
758	798	2	2	2	5
798	870	2	2	2	5
870	880	2	2	2	5
880	1084	2	2	2	5
1084	1593	2	2	2	5
1593	1594	2	2	2	5
1594	1704	2	2	2	5
1704	1719	2	2	2	5
