Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0.0	50.0	750	150.0	2.0
50.0	100.0	750	150.0	2.0
100.0	150.0	750	150.0	2.0
150.0	200.0	750	150.0	2.0
200.0	250.0	750	150.0	2.0
250.0	300.0	750	150.0	2.0
300.0	350.0	750	150.0	2.0
350.0	400.0	750	150.0	2.0
400.0	450.0	750	150.0	2.0
450.0	500.0	750	150.0	2.0
500.0	550.0	750	150.0	2.0
550.0	600.0	750	150.0	2.0
600.0	650.0	750	150.0	2.0
650.0	700.0	750	150.0	2.0
700.0	750.0	750	150.0	2.0
750.0	800.0	750	150.0	2.0
800.0	850.0	750	150.0	2.0
850.0	900.0	750	150.0	2.0
900.0	950.0	750	150.0	2.0
950.0	1000.0	750	150.0	2.0
1000.0	1050.0	750	150.0	2.0
1050.0	1100.0	750	150.0	2.0
1100.0	1150.0	750	100.0	1.0
1150.0	1200.0	750	100.0	1.0
1200.0	1250.0	750	100.0	1.0
1250.0	1300.0	750	100.0	1.0
1300.0	1350.0	750	100.0	1.0
1350.0	1400.0	750	100.0	1.0
1400.0	1450.0	750	100.0	1.0
1450.0	1500.0	750	100.0	1.0
1500.0	1550.0	750	100.0	1.0
1550.0	1600.0	750	100.0	1.0
1600.0	1650.0	750	100.0	2.0
1650.0	1700.0	750	100.0	2.0
1700.0	1714.0	750	100.0	2.0
		750		
