Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
0	185	1					2		2		
0	31	2					2		2		
61	174	2					2		2		
184	265	2					2		2		
204	286	1					2		2		
275	297	2					2		2		
296	489	1					2		2		
306	530	2					2		2		
500	843	1					2		2		
540	651	2					2		2		
672	843	2					2		2		
855	1079	1					2		2		
855	1368	2					2		2		
1086	1304	1					2		2		
1310	1505	1					2		2		
1375	1517	2					2		2		
1528	1811	1					2		2		
1528	1631	2					2		2		
1640	1751	2					2		2		
1761	1773	2					2		2		
1782	1811	2					2		2		
