Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	5.96	4.87						
200.0	300.0	4.49	4.01						
300.0	400.0	3.14	3.2						
400.0	500.0	4.35	3.29						
500.0	600.0	6.26	5.46						
600.0	700.0	0.0	0.0						
700.0	800.0	4.74	4.84						
800.0	900.0	5.19	4.04						
900.0	1000.0	4.6	6.99						
1000.0	1100.0	5.57	4.14						
1100.0	1200.0	0.0	0.0						
1200.0	1300.0	0.0	5.08						
1300.0	1400.0	3.23	5.25						
1400.0	1500.0	4.78	4.77						
1500.0	1600.0	3.84	3.83						
1600.0	1700.0	4.11	6.4						
1700.0	1800.0	5.84	7.24						
1800.0	1824.028								
