Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	200	2
50	100	750	200	2
100	150	750	200	2
150	200	750	200	2
200	250	750	200	2
250	300	750	200	2
300	350	750	200	2
350	400	750	200	2
400	450	750	200	2
450	500	750	200	2
500	550	750	50	2
550	600	750	50	2
600	650	750	50	2
650	700	750	50	2
700	750	750	50	2
750	800	750	50	2
800	850	750	50	2
850	900	750	150	2
900	950	750	150	2
950	1000	750	150	2
1000	1050	750	150	2
1050	1100	750	150	2
1100	1150	750	50	2
1150	1200	750	200	2
1200	1250	750	200	2
1250	1300	750	200	2
1300	1350	750	200	2
1350	1400	750	200	2
1400	1450	750	200	2
1450	1500	750	200	2
1500	1550	750	200	2
1550	1600	750	200	2
1600	1650	750	200	2
1650	1700	750	200	2
1700	1750	750	200	2
1750	1800	750	200	2
1800	1807	750	200	2
