Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
150	193	1					2		1		
150	193	2					2		1		
193	1154	1					2		2		
193	1195	2					2		2		
1174	1300	1					2		1		
1195	1627	2					2		1		
1648	1989	2					2		1		
2000	2845	2					2		1		
1316	1907	1					2		1		
1865	3027	2					2		1		
1935	3017	1					2		1		
3068	3185	1					2		2		
3050	3220	2					2		2		
3198	3256	1					2		2		
3287	3328	2					2		2		
3277	3340	1					2		2		
3338	3510	2					2		2		
3358	3765	1					2		2		
3521	4090	2					2		2		
3775	3806	1					2		2		
3816	4100	1					2		2		
4161	4213	2					2		2		
4243	4528	2					2		2		
4355	4533	1					2		2		
4548	4703	2					2		1		
4533	4997	1					2		1		
4712	4930	2					2		1		
4946	5038	2					2		1		
5007	5241	1					2		1		
5099	5638	2					2		1		
5252	5679	1					2		1		
5648	5689	2					2		1		
5689	5910	1					2		1		
5699	5910	2					2		1		
5915	6068	1					2		1		
5915	5994	2					2		1		
6005	6045	2					2		1		
6066	6479	2					2		1		
6076	6103	1					2		1		
6114	6235	1					2		1		
6245	6337	1					2		1		
6348	6764	1					2		1		
6500	6562	2					2		1		
6571	6663	2					2		1		
6693	6700	2					2		1		
6705	6754	2					2		1		
6785	6820	2					2		1		
9774	6820	1					2		1		
