Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
170	2	2	2.4		1.0	1.0
182	2	1	6.10.1	Паники 4	2.0	1.0
1082	2	1	1.11.1		1.0	1.0
1368	2	2	1.11.2		1.0	1.0
1435	2	1	1.11.2		1.0	1.0
1820	2	1	2.3.2		1.0	1.0
1870	2	2	1.11.1		1.0	1.0
2223	2	2	2.3.3		1.0	1.0
2263	2	1	2.3.3		1.0	2.0
2345	2	1	5.23.1	Паники	2.0	1.0
2345	1	2	5.24.1	Паники	2.0	1.0
2365	2	2	2.3.2		1.0	1.0
2884	2	1	2.3.3		1.0	1.0
2987	2	1	2.3.1		1.0	1.0
3080	2	1	2.3.2		1.0	1.0
3139	2	1	2.3.3		1.0	1.0
3215	2	1	2.3.3		1.0	1.0
3271	2	1	5.16		9.0	1.0
3271	1	2	5.16		9.0	1.0
3312	2	2	2.3.2		1.0	1.0
3378	2	2	1.25	временный	1.0	3.0
3378	2	2	1.20.2	временный	1.0	3.0
3409	2	2	2.3.1		1.0	1.0
3460	2	1	2.3.2		1.0	1.0
3475	2	2	2.3.3		1.0	1.0
3999	2	1	3.24	40	1.0	1.0
4025	2	1	1.23		1.0	1.0
4060	2	1	3.24	40	1.0	1.0
4060	2	1	1.17		1.0	1.0
4081	2	2	3.25		1.0	1.0
4081	2	1	1.23		1.0	1.0
4081	2	1	8.2.1	50 м	1.0	1.0
4111	2	1	5.20		1.0	1.0
4130	2	1	5.19.1		1.0	1.0
4130	2	2	5.19.2		1.0	1.0
4135	2	2	5.19.1		1.0	1.0
4135	1	1	5.19.2		1.0	1.0
4150	2	2	5.20			
4175	2	1	3.25		1.0	1.0
4175	2	2	8.2.1	50 м	1.0	1.0
4175	2	2	1.23		1.0	1.0
4192	2	2	2.1		1.0	1.0
4202	2	2	1.17		1.0	1.0
4202	2	2	3.24	40	1.0	1.0
4233	2	2	1.23		1.0	1.0
4254	2	2	1.15		1.0	1.0
4254	2	2	3.24	40	1.0	1.0
4260	2	1	2.1		1.0	1.0
4304	1	2	5.16		9.0	1.0
4304	2	2	5.16		9.0	1.0
4365	2	1	3.24	40	1.0	1.0
4365	2	1	1.12.1		1.0	1.0
5109	2	2	1.12.1		1.0	1.0
5497	2	1	1.11.2		1.0	1.0
5883	2	1	5.23.1	Драчевка	2.0	1.0
5883	1	2	5.24.1	Драчевка	2.0	1.0
6025	2	1	1.11.1		1.0	1.0
6128	2	2	1.15		1.0	1.0
6128	2	2	1.11.2		1.0	1.0
6679	2	1	5.16		9.0	1.0
6679	1	2	5.16		9.0	1.0
