Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	193	1	2	2	5
193	1154	1	2	2	5
1154	1174	1	2	2	3
1174	1300	1	2	2	5
1300	1316	1	2	2	3
1316	1907	1	2	2	5
1907	1935	1	2	2	3
1935	3017	1	2	2	5
3017	3068	1	2	2	3
3068	3185	1	2	2	5
3185	3198	1	2	2	3
3198	3256	1	2	2	5
3256	3277	1	2	2	3
3277	3340	1	2	2	5
3340	3358	1	2	2	3
3358	3765	1	2	2	5
3765	3775	1	2	2	3
3775	3806	1	2	2	5
3806	3816	1	2	2	3
3816	4100	1	2	2	5
4100	4355	1	2	2	3
4355	4533	1	2	2	5
4533	4533	1	2	2	3
4533	4997	1	2	2	5
4997	5007	1	2	2	3
5007	5241	1	2	2	5
5241	5252	1	2	2	3
5252	5679	1	2	2	5
5679	5689	1	2	2	3
5689	5910	1	2	2	5
5910	5915	1	2	2	3
5915	6068	1	2	2	5
6068	6076	1	2	2	3
6076	6103	1	2	2	5
6103	6114	1	2	2	3
6114	6235	1	2	2	5
6235	6245	1	2	2	3
6245	6337	1	2	2	5
6337	6348	1	2	2	3
6348	6764	1	2	2	5
6764	9774	1	2	2	3
9774	6820	1	2	2	5
0	193	2	2	2	5
193	1195	2	2	2	5
1195	1627	2	2	2	5
1627	1648	2	2	2	3
1648	1989	2	2	2	5
1989	2000	2	2	2	3
2000	2845	2	2	2	5
2845	1865	2	2	2	3
1865	3027	2	2	2	5
3027	3050	2	2	2	3
3050	3220	2	2	2	5
3220	3287	2	2	2	3
3287	3328	2	2	2	5
3328	3338	2	2	2	3
3338	3510	2	2	2	5
3510	3521	2	2	2	3
3521	4090	2	2	2	5
4090	4161	2	2	2	3
4161	4213	2	2	2	5
4213	4243	2	2	2	3
4243	4528	2	2	2	5
4528	4548	2	2	2	3
4548	4703	2	2	2	5
4703	4712	2	2	2	3
4712	4930	2	2	2	5
4930	4946	2	2	2	3
4946	5038	2	2	2	5
5038	5099	2	2	2	3
5099	5638	2	2	2	5
5638	5648	2	2	2	3
5648	5689	2	2	2	5
5689	5699	2	2	2	3
5699	5910	2	2	2	5
5910	5915	2	2	2	3
5915	5994	2	2	2	5
5994	6005	2	2	2	3
6005	6045	2	2	2	5
6045	6066	2	2	2	3
6066	6479	2	2	2	5
6479	6500	2	2	2	3
6500	6562	2	2	2	5
6562	6571	2	2	2	3
6571	6663	2	2	2	5
6663	6693	2	2	2	3
6693	6700	2	2	2	5
6700	6705	2	2	2	3
6705	6754	2	2	2	5
6754	6785	2	2	2	3
6785	6820	2	2	2	5
