Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
1159	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
1627	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
1993	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
2299	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
2849	2	к ангарам	0	0	0	2	6				0	0	0	6	3	18	90	2		
2920	1	к предприятию	0	0	0	1	6				0	0	0	2	8	48	90	2		
3032	6	к предприятию	0	0	0	1	6				0	0	0	2	8	48	90	2		
3246	6	Крым - Паники - Драчевка км 2 - Крым	0	0	0	1	6				0	0	0	2	6	36	90	2		
3328	6	к предприятию	0	0	0	1	6				0	0	0	2	3	18	90	2		
3510	2	к предприятию	0	0	0	1	6				0	0	0	3	7	42	90	2		
4090	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
4334	1	к домам	0	0	0	1	6				0	0	0	2	5	30	90	2		
4528	2	к домам	0	0	0	1	6				0	0	0	2	3	18	45	2		
4396	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
4967	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
4997	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
5048	2	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
5638	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
5679	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
5689	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
5913	6	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
6066	1	к домам	0	0	0	2	6				1	0	0	6	3	18	90	2		
6479	2	к предприятию	0	0	0	1	6				0	0	0	2	7	42	90	2		
6663	2	к предприятию	0	0	0	1	6				0	0	0	2	7	42	90	2		
6774	1	к домам	0	0	0	2	6				0	0	0	6	3	18	90	2		
