Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	255	1	2	2	5
255	275	1	2	2	3
275	387	1	2	2	5
387	397	1	2	2	3
397	448	1	2	2	5
448	452	1	2	2	3
452	834	1	2	2	5
834	837	1	2	2	3
837	967	1	2	2	5
967	1527	1	2	2	5
1527	1537	1	2	2	3
1537	5145	1	2	2	5
0	784	2	2	2	5
784	795	2	2	2	3
795	875	2	2	2	5
875	890	2	2	2	3
890	977	2	2	2	5
977	9980	2	2	2	3
9980	1415	2	2	2	5
1415	1435	2	2	2	3
1435	1660	2	2	2	5
1660	1665	2	2	2	3
1665	1750	2	2	2	5
1750	1753	2	2	2	3
1753	3014	2	2	2	5
3014	3034	2	2	2	3
3034	3594	2	2	2	5
3594	3603	2	2	2	3
3603	3810	2	2	2	5
3810	3815	2	2	2	3
3815	5059	2	2	2	5
5059	5100	2	2	2	3
5100	5145	2	2	2	5
