Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	2350	1	2	2	5
2350	2363	1	2	2	3
2363	3295	1	2	2	5
3295	3310	1	2	2	3
3310	4587	1	2	2	5
4587	4610	1	2	2	3
4610	5936	1	2	2	5
5936	5946	1	2	2	3
5946	6175	1	2	2	5
6175	6190	1	2	2	3
6190	6241	1	2	2	5
6241	6261	1	2	2	3
6261	6439	1	2	2	5
0	1009	2	2	2	5
1009	1019	2	2	2	3
1019	2826	2	2	2	5
2826	2846	2	2	2	3
2846	3295	2	2	2	5
3295	3310	2	2	2	3
3310	4297	2	2	2	5
4297	4307	2	2	2	3
4307	5949	2	2	2	5
5949	5946	2	2	2	3
5946	6439	2	2	2	5
