Местоположение начала участка, м	Местоположение конца участка, м	Тип покрытия (прямое направление)	Общая ширина проезжей части, м (прямое направление)	Прочая ширина проезжей части, м (прямое направление) (карман на остановке,обочины на мостах)	Ширина проезжей части на полосах транзитного движения, м (прямое направление)	Тип покрытия (обратное направление)	Общая ширина проезжей части, м (обратное направление)	Прочая ширина проезжей части, м (обратное направление) (карман на остановке,обочины на мостах)	Ширина проезжей части на полосах транзитного движения, м (обратное направление)	Код конструкции разделительной полосы	 Ширина полосы безопасности разделительной полосы, м (прямое направление)	Ширина разделительной полосы, м	Ширина полосы безопасности разделительной полосы, м (обратное направление)
0	68	2	3.0			2	3.0						
68	88	2	3.0			2	3.5	0.5					
88	547	2	3.0			2	3.0						
547	572	2	4.0	1.0		2	4.0	1.0					
572	2196	2	3.0			2	3.0						
2196	2216	2	3.0			2	3.5	0.5					
2216	2349	2	3.0			2	3.0						
2349	2369	2	3.5	0.5		2	3.0						
2369	7327	2	3.0			2	3.0						
7327	7347	2	3.0			2	3.5	0.5					
7347	9850	2	3.0			2	3.0						
