Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
42	63	1					2		2		
42	83	2					2		2		
73	496	1					2		2		
87	180	2					2		2		
190	496	2					2		2		
628	740	1					2		2		
628	748	2					2		2		
748	1407	1					2		2		
761	1845	2					2		2		
1435	1779	1					2		2		
1785	2194	1					2		2		
1856	2263	2					2		2		
2221	2262	1					2		2		
2275	2750	1					2		2		
2283	2344	2					2		2		
2354	2488	2					2		2		
2506	2588	2					2		2		
2598	2753	2					2		2		
2770	2955	1					2		2		
2762	2955	2					2		2		
2965	3148	1					2		2		
2965	3148	2					2		2		
3160	3415	1					2		2		
3160	3311	2					2		2		
3331	5207	2					2		2		
3420	5189	1					2		2		
5433	5606	2					2		2		
5464	6132	1					2		2		
5615	6470	2					2		2		
6152	6655	1					2		2		
6480	6650	2					2		2		
6655	6677	2					2		2		
6665	6878	1					2		2		
6686	6755	2					2		2		
6777	6968	2					2		2		
6883	7320	1					2		2		
6982	7248	2					2		2		
7270	7342	2					2		2		
7327	7338	1					2		2		
7355	7449	1					2		2		
7350	7459	2					2		2		
7459	7559	1					2		2		
7488	7585	2					2		2		
7570	7744	1					2		2		
7590	7795	2					2		2		
7757	7795	1					2		2		
7805	7900	1					2		2		
7805	7865	2					2		2		
7876	8019	2					2		2		
7907	8025	1					2		2		
8025	8122	2					2		2		
8030	8119	1					2		2		
8123	9154	1					2		2		
8133	8825	2					2		2		
8829	9154	2					2		2		
9165	9850	1					2		2		
9165	9850	2					2		2		
