Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	1000.0	0.0	0.0						
1000.0	2000.0	4.78	3.52						
2000.0	3000.0	6.06	2.77						
3000.0	4000.0	5.53	2.7						
4000.0	5000.0	6.97	2.58						
5000.0	6000.0	7.49	5.82						
6000.0	7000.0	2.43	6.25						
7000.0	8000.0	3.18	5.08						
8000.0	9000.0	3.88	4.29						
9000.0	9899.352	4.25	5.36						
