Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
47	2	2	2.4		1.0	1.0
58	2	2	2.3.1		2.0	1.0
190	2	1	1.11.1		1.0	1.0
527	2	1	6.11	р.Полная	2.0	1.0
587	2	2	6.11	р.Полная	2.0	1.0
598	2	1	1.11.2		1.0	1.0
781	2	1	5.23.1	Аксеновка	2.0	1.0
781	2	2	5.24.1	Аксеновка	2.0	1.0
954	2	1	1.12.2		1.0	1.0
1208	2	1	2.3.3		1.0	1.0
1616	2	2	1.11.2		1.0	1.0
2175	2	1	2.3.1		1.0	1.0
2206	1	1	5.16		1.0	1.0
2206	2	2	5.16		1.0	1.0
2267	2	1	7.1		1.0	1.0
2267	2	1	8.1.3	100 м	1.0	1.0
2369	2	2	2.3.1		1.0	1.0
2369	2	1	2.3.2		1.0	1.0
2563	2	1	1.12.2		1.0	1.0
2644	2	1	2.3.1		1.0	1.0
2878	2	2	2.3.1		1.0	1.0
3234	2	2	5.23.1	Аксеновка	2.0	1.0
4854	2	1	1.12.2		1.0	1.0
5159	2	1	1.34.1		2.0	1.0
5230	2	1	1.14		1.0	1.0
5739	2	2	1.13		1.0	1.0
5739	2	2	1.12.2			
6024	2	1	1.11.1		1.0	2.0
6024	2	1	1.13		1.0	2.0
6390	2	1	1.14		1.0	1.0
6411	2	2	1.11.2		1.0	1.0
6411	2	2	1.14		1.0	1.0
6462	2	1	5.23.1	Дубовец	2.0	1.0
6462	2	2	5.24.1	Дубовец	2.0	1.0
6502	2	1	1.11.1		1.0	1.0
6700	2	2	1.11.2		1.0	1.0
6700	2	2	1.14		1.0	1.0
7042	2	1	1.12.2		1.0	1.0
7215	2	1	2.3.1		1.0	1.0
7215	2	1	1.23		1.0	1.0
7337	1	1	5.16		1.0	1.0
7337	2	2	5.16		1.0	1.0
7500	2	2	1.23		1.0	1.0
7500	2	2	3.24	40	1.0	1.0
7531	2	2	1.12.2		1.0	1.0
7958	2	1	1.11.2		1.0	1.0
8070	2	1	2.3.2		1.0	1.0
8447	2	2	1.11.1		1.0	1.0
8457	2	1	1.11.1		1.0	1.0
8885	2	2	1.11.2		1.0	1.0
8885	2	1	1.11.1		1.0	1.0
9230	1	2	5.24.1	Дубовец	2.0	1.0
9230	2	2	5.23.1	Дубовец	2.0	1.0
9322	2	2	1.11.2		1.0	1.0
9546	2	1	1.11.2		1.0	1.0
