Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	63	1	2	2	5
63	73	1	2	2	3
73	496	1	2	2	5
496	628	1	2	2	3
628	740	1	2	2	5
740	748	1	2	2	3
748	1407	1	2	2	5
1407	1435	1	2	2	3
1435	1779	1	2	2	5
1779	1785	1	2	2	3
1785	2194	1	2	2	5
2194	2221	1	2	2	3
2221	2262	1	2	2	5
2262	2275	1	2	2	3
2275	2750	1	2	2	5
2750	2770	1	2	2	3
2770	2955	1	2	2	5
2955	2965	1	2	2	3
2965	3148	1	2	2	5
3148	3160	1	2	2	3
3160	3415	1	2	2	5
3415	3420	1	2	2	3
3420	5189	1	2	2	5
5189	5464	1	2	2	3
5464	6132	1	2	2	5
6132	6152	1	2	2	3
6152	6655	1	2	2	5
6655	6665	1	2	2	3
6665	6878	1	2	2	5
6878	6883	1	2	2	3
6883	7320	1	2	2	5
7320	7327	1	2	2	3
7327	7338	1	2	2	5
7338	7355	1	2	2	3
7355	7449	1	2	2	5
7449	7459	1	2	2	3
7459	7559	1	2	2	5
7559	7570	1	2	2	3
7570	7744	1	2	2	5
7744	7757	1	2	2	3
7757	7795	1	2	2	5
7795	7805	1	2	2	3
7805	7900	1	2	2	5
7900	7907	1	2	2	3
7907	8025	1	2	2	5
8025	8030	1	2	2	3
8030	8119	1	2	2	5
8119	8123	1	2	2	3
8123	9154	1	2	2	5
9154	9165	1	2	2	3
9165	9850	1	2	2	5
0	83	2	2	2	5
83	87	2	2	2	3
87	180	2	2	2	5
180	190	2	2	2	3
190	496	2	2	2	5
496	628	2	2	2	3
628	748	2	2	2	5
748	761	2	2	2	3
761	1845	2	2	2	5
1845	1856	2	2	2	3
1856	2263	2	2	2	5
2263	2283	2	2	2	3
2283	2344	2	2	2	5
2344	2354	2	2	2	3
2354	2488	2	2	2	5
2488	2506	2	2	2	3
2506	2588	2	2	2	5
2588	2598	2	2	2	3
2598	2753	2	2	2	5
2753	2762	2	2	2	3
2762	2955	2	2	2	5
2955	2965	2	2	2	3
2965	3148	2	2	2	5
3148	3160	2	2	2	3
3160	3311	2	2	2	5
3311	3331	2	2	2	3
3331	5207	2	2	2	5
5207	5433	2	2	2	3
5433	5606	2	2	2	5
5606	5615	2	2	2	3
5615	6470	2	2	2	5
6470	6480	2	2	2	3
6480	6650	2	2	2	5
6650	6655	2	2	2	3
6655	6677	2	2	2	5
6677	6686	2	2	2	3
6686	6755	2	2	2	5
6755	6777	2	2	2	3
6777	6968	2	2	2	5
6968	6982	2	2	2	3
6982	7248	2	2	2	5
7248	7270	2	2	2	3
7270	7342	2	2	2	5
7342	7350	2	2	2	3
7350	7459	2	2	2	5
7459	7488	2	2	2	3
7488	7585	2	2	2	5
7585	7590	2	2	2	3
7590	7795	2	2	2	5
7795	7805	2	2	2	3
7805	7865	2	2	2	5
7865	7876	2	2	2	3
7876	8019	2	2	2	5
8019	8025	2	2	2	3
8025	8122	2	2	2	5
8122	8133	2	2	2	3
8133	8825	2	2	2	5
8825	8829	2	2	2	3
8829	9154	2	2	2	5
9154	9165	2	2	2	3
9165	9850	2	2	2	5
