Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
27	303	1	4
27	262	2	13
262	709	2	1
303	1473	1	1
709	954	2	7
954	1473	2	2
1473	1881	1	7
1473	1881	2	7
1881	2695	1	2
1881	2257	2	2
2257	2614	2	13
2614	2787	2	1
2695	2787	1	13
2787	3153	1	4
2787	2970	2	4
2970	3153	2	12
3153	3346	2	7
3153	3346	1	7
3346	4884	1	2
3346	5260	2	2
4884	5433	1	1
5260	5433	2	12
5433	6726	1	7
5433	5739	2	7
5739	6095	2	4
6095	6451	2	7
6451	6980	2	13
6726	6980	1	13
6980	7194	2	7
6980	7286	1	2
7194	8304	2	13
7286	8304	1	13
8304	9855	1	2
8304	9855	2	2
