Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
180	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
750	6	в поле	0	0	0	1	6				1	0	0	2	3	18	90	2		
1422	1	к домам	0	0	0	1	6				1	0	0	2	6	36	90	2		
1779	1	"Крым - Полный - ""Крым"" - Полевая"" - Вышний Дубовец - граница Обоянского района"" - 2-я Рождественка"	0	0	0	1	6				1	0	0	2	3	18	90	2		
1850	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
2267	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
2501	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
2593	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
2756	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
2960	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
3163	6	Знаменка - Нижний Дубовец	0	0	0	1	6				0	0	0	2	3	18	90	2		
3316	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
6146	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
6685	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
7266	2	к деревне	0	0	0	1	6				0	0	0	2	3	18	180	2		
7357	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
7469	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
7561	1	к ангарам	0	0	0	1	6				0	0	0	2	3	18	90	2		
7755	1	к ангарам	0	0	0	1	6				0	0	0	2	3	18	90	2		
8131	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
9169	6	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
