Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1927	1	2	2	8.0
1927	1940	1	2	2	6.25
1940	2120	1	2	2	8.0
2120	2130	1	2	2	6.25
2130	2283	1	2	2	8.0
2283	2273	1	2	2	6.25
2273	2547	1	2	2	8.0
2547	2587	1	2	2	6.25
2587	2791	1	2	2	8.0
2791	2810	1	2	2	6.25
2810	2841	1	2	2	8.0
0	1937	2	2	2	8.0
1937	1940	2	2	2	6.25
1940	2120	2	2	2	8.0
2120	2130	2	2	2	6.25
2130	2283	2	2	2	8.0
2283	2273	2	2	2	6.25
2273	2547	2	2	2	8.0
2547	2587	2	2	2	6.25
2587	2750	2	2	2	8.0
2750	2780	2	2	2	6.25
2780	2841	2	2	2	8.0
