Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	112	1	2	2	5
112	131	1	2	2	3
131	1745	1	2	2	5
1745	1755	1	2	2	3
1755	1795	1	2	2	5
1795	1825	1	2	2	3
1825	2050	1	2	2	5
2050	2070	1	2	2	5
2070	2223	1	2	2	5
2223	2234	1	2	2	5
2234	2437	1	2	2	5
2437	2448	1	2	2	5
2448	2458	1	2	2	5
2458	2488	1	2	2	5
2488	2551	1	2	2	5
2551	2580	1	2	2	5
2580	2732	1	2	2	5
2732	2741	1	2	2	5
2741	2834	1	2	2	5
2834	2850	1	2	2	5
2850	2859	1	2	2	5
0	92	2	2	2	5
92	111	2	2	2	3
111	1305	2	2	2	5
1305	1317	2	2	2	3
1317	1583	2	2	2	5
1583	1502	2	2	2	3
1502	1714	2	2	2	5
1714	1724	2	2	2	3
1724	1795	2	2	2	5
1795	1825	2	2	2	3
1825	1847	2	2	2	5
1847	1857	2	2	2	3
1857	2518	2	2	2	5
2518	2549	2	2	2	5
2549	2551	2	2	2	5
2551	2580	2	2	2	5
2580	2859	2	2	2	5
