Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
36	1177	1					2		2		
36	1177	2					2		2		
1208	1360	1					2		2		
1208	1360	2					2		2		
1380	1493	1					2		2		
1380	1493	2					2		2		
1503	1706	1					2		2		
1513	1666	2					2		2		
1737	2266	2					2		2		
1706	2048	1					2		2		
2063	2185	1					2		2		
2195	2266	1					2		2		
2266	4109	1					2		1		
2266	3997	2					2		1		
4018	4109	2					2		1		
4109	4312	1					2		2		
4109	4312	2					2		2		
4312	4495	2					2		2		
4322	4396	1					2		2		
4410	4495	1					2		2		
