Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1177	1	2	2	5
1177	1208	1	2	2	3
1208	1360	1	2	2	5
1360	1380	1	2	2	3
1380	1593	1	2	2	5
1593	1503	1	2	2	3
1503	1706	1	2	2	5
1706	2058	1	2	2	5
2058	2063	1	2	2	3
2063	2185	1	2	2	5
2185	2195	1	2	2	3
2195	2266	1	2	2	5
2266	5038	1	2	2	5
5038	5109	1	2	2	3
5109	5109	1	2	2	3
5109	5312	1	2	2	5
5312	5322	1	2	2	3
5322	5396	1	2	2	6
5396	5510	1	2	2	5
5510	5595	1	2	2	6
0	1177	2	2	2	5
1177	1208	2	2	2	3
1208	1360	2	2	2	5
1360	1380	2	2	2	3
1380	1593	2	2	2	5
1593	1513	2	2	2	3
1513	1666	2	2	2	5
1666	1737	2	2	2	3
1737	2266	2	2	2	5
2266	3997	2	2	2	5
3997	5018	2	2	2	3
5018	5109	2	2	2	5
5109	5312	2	2	2	5
5312	5595	2	2	2	5
