Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
149	200	1					2		2		
149	169	2					2		1		
180	200	2					2		1		
251	312	1					2		2		
200	434	2					2		2		
312	842	1					2		2		
434	536	2					2		2		
536	2501	2					2		1		
862	1688	1					2		1		
1707	1921	1					2		1		
1972	4153	1					2		1		
2521	4171	2					2		1		
4171	7052	1					2		1		
4185	6023	2					2		1		
6034	7115	2					2		1		
7070	7092	1					2		1		
7115	8520	1					2		1		
7125	7887	2					2		1		
7897	8500	2					2		1		
8523	9490	2					2		1		
8530	9586	1					2		1		
9500	10142	2					2		1		
9597	10274	1					2		1		
10151	10274	2					2		1		
10294	10808	1					2		1		
10294	10730	2					2		1		
10745	10940	2					2		1		
10835	10960	1					2		1		
10950	11701	2					2		1		
10970	12300	1					2		1		
11716	12075	2					2		1		
12080	12300	2					2		1		
12311	12626	1					2		1		
12311	12626	2					2		1		
12638	12961	1					2		1		
12638	12962	2					2		1		
12971	12981	1					2		1		
12993	13027	1					2		1		
12980	13006	2					2		1		
12045	13282	2					2		1		
13047	13108	1					2		1		
13129	13261	1					2		1		
13272	13322	1					2		1		
13290	13460	2					2		1		
13333	13343	1					2		1		
13353	13374	1					2		1		
13394	13155	1					2		1		
13472	13704	2					2		1		
13712	13796	2					2		1		
13807	13960	2					2		1		
13969	14140	2					2		1		
14030	14280	2					2		1		
14285	14835	2					2		1		
14845	15108	2					2		1		
15115	15408	2					2		2		
15155	15755	1					2		2		
15411	16091	2					2		2		
15765	17930	1					2		2		
16101	16204	2					2		2		
16215	17649	2					2		2		
17655	18510	2					2		2		
17960	19021	1					2		2		
18525	18865	2					2		2		
18875	19120	2					2		2		
19031	19102	1					2		2		
19113	19367	1					2		2		
19133	19367	2					2		2		
19378	19525	1					2		2		
19378	19525	2					2		2		
19540	19733	1					2		2		
19540	19622	2					2		2		
19633	19745	2					2		2		
19754	19930	1					2		2		
19760	19930	2					2		2		
19938	19987	1					2		2		
19938	19987	2					2		2		
20025	20066	1					2		2		
20055	20080	2					2		2		
20117	20341	1					2		2		
20087	20311	2					2		2		
20323	21013	2					2		2		
20362	20520	1					2		2		
20525	20565	1					2		2		
20575	21013	1					2		2		
21024	21818	1					2		2		
21024	21869	2					2		2		
21839	22200	1					2		2		
21880	22535	2					2		2		
22215	22770	1					2		2		
22539	22975	2					2		2		
22780	23052	1					2		2		
22983	23494	2					2		2		
23072	23440	1					2		2		
23448	23597	1					2		2		
23505	24135	2					2		2		
23605	24578	1					2		2		
24176	25581	2					2		2		
24589	24569	1					2		2		
24669	25683	1					2		2		
25592	25165	2					2		2		
25693	25900	1					2		2		
25907	26380	1					2		2		
26207	26780	2					2		2		
26391	26523	1					2		2		
26533	26880	1					2		2		
26798	27930	2					2		2		
26910	27001	1					2		2		
27012	27159	1					2		2		
27179	27930	1					2		2		
28036	28168	1					2		2		
28036	28258	2					2		2		
28330	28382	1					2		2		
28351	28487	2					2		2		
28395	28405	1					2		2		
28412	28616	1					2		2		
28490	28861	2					2		2		
28627	28647	1					2		2		
28657	28993	1					2		2		
28871	28953	2					2		2		
28962	28988	2					2		2		
28995	29609	1					2		2		
28998	29130	2					2		2		
29141	29375	2					2		2		
29385	29629	2					2		2		
29629	31878	1					2		2		
29639	29842	2					2		2		
29853	30006	2					2		2		
30016	30865	2					2		2		
30873	31675	2					2		2		
31695	31995	2					2		2		
31898	31951	1					2		2		
31961	31995	1					2		2		
