Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	1000.0	0.0	0.0						
1000.0	2000.0	2.48	0.0						
2000.0	3000.0	2.49	3.37						
3000.0	4000.0	3.09	3.25						
4000.0	5000.0	2.5	3.67						
5000.0	6000.0	1.92	4.17						
6000.0	7000.0	2.95	3.6						
7000.0	8000.0	2.28	2.75						
8000.0	9000.0	2.54	7.8						
9000.0	10000.0	3.7	5.3						
10000.0	11000.0	3.05	5.28						
11000.0	12000.0	5.43	4.18						
12000.0	13000.0	2.83	0.0						
13000.0	14000.0	0.0	0.0						
14000.0	15000.0	7.06	4.53						
15000.0	16000.0	3.1	4.45						
16000.0	17000.0	4.69	5.2						
17000.0	18000.0	5.02	2.94						
18000.0	19000.0	3.75	5.32						
19000.0	20000.0	4.26	0.0						
20000.0	21000.0	3.57	4.51						
21000.0	22000.0	7.84	4.51						
22000.0	23000.0	6.94	5.73						
23000.0	24000.0	5.6	5.17						
24000.0	25000.0	10.08	6.13						
25000.0	26000.0	6.94	9.03						
26000.0	27000.0	3.63	6.79						
27000.0	28000.0	4.8	4.18						
28000.0	29000.0	4.18	25.55						
29000.0	30000.0	5.58	3.62						
30000.0	31000.0	4.13	2.19						
31000.0	32000.0	5.2	3.7						
32000.0	32146.867	0.0							
