Местоположение м	Код расположения 	Площадь	Название	Переходно -скоростные полосы (1-есть/0-нет)	 Остановочная площадка с твердым покрытием (заездной карман) (1-есть/0-нет)	Посадочной площадки (1-есть/0-нет)	Павильон (1-есть/0-нет)	Тип павильона	Техническое состояние	Год постройки	Год последнего капитального ремонта
174	2	50		0	1	1	1	1	1		
225	1	50		0	1	1	0	0	0		
7056	1	50		0	1	1	1	1	1		
13032	1	50		0	1	1	1	1	1		
20071	1	50		0	1	1	1	1	1		
23444	1	50		0	1	1	1	1	1		
23495	2	50		0	1	1	1	1	1		
25581	2	50		0	1	1	1	1	1		
28173	1	50		0	1	1	1	1	1		
31685	2	50		0	1	1	1	1	1		
