Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
150	2	2	2.4		1	1
170	2	1	5.16		9	1
170	1	2	5.16		9	1
210	2	2	5.16		1	1
232	1	1	5.16		1	1
232	2	2	5.16		1	1
261	2	1	6.12	Дубовец 17, Китаевка 18, Любицкое 23	2	1
343	2	1	3.27		1	1
343	2	1	8.2.1		1	1
620	2	1	1.11.1		1	1
620	2	1	2.3.3		1	1
679	2	2	8.2.1		1	1
679	2	2	3.27		1	1
1240	2	2	2.3.2		1	1
1240	2	2	1.11.2		1	1
1380	2	1	1.11.1		1	1
2195	2	2	2.3.2		1	1
2195	2	2	1.11.2		1	1
2299	2	1	2.3.2		1	1
2512	13	1	2.4		1	1
2797	2	2	2.3.3		1	1
4010	2	1	2.3.1		1	1
4191	13	1	2.4		1	1
4324	2	2	2.3.3		1	1
5036	2	1	1.11.2		1	1
5443	2	2	1.11.1		1	1
5850	2	1	2.3.2		1	1
5972	2	1	6.12	х.Красная Поляна 1,9	2	1
6034	13	1	2.4		1	1
6217	2	2	2.3.3		1	1
6889	2	1	2.3.3		1	1
7052	1	1	5.16		9	1
7052	2	2	5.16		9	1
7103	2	1	6.12	Чермошное	1	1
7317	2	2	2.3.1		1	1
8345	2	1	2.3.2		1	1
8671	2	1	1.11.2		1	1
8711	2	2	2.3.3		1	1
9077	2	2	1.11.1		1	1
9647	2	1	1.11.2		1	1
9841	2	1	1.34.1		2	1
9851	1	2	1.34.2		1	1
10014	2	2	1.12.1		1	1
10014	2	1	1.11.2		1	1
10136	2	1	2.3.2		1	1
10182	2	1	6.12	Китаевка 10, Любицкое 17, Дубовец 7	7	1
10330	2	1	1.12.2		1	1
10381	2	2	6.12		2	1
11002	2	2	1.12.2		1	1
12458	2	1	2.3.1		1	1
12498	2	2	2.3.1		1	1
12834	2	1	2.1		1	1
12844	2	2	2.3.1		1	1
12865	2	1	1.12.2		1	1
12895	2	1	3.24	40	1	1
12915	2	1	5.23.1	Губановка	2	1
12915	1	2	5.24.1	Губановка	1	1
12946	2	1	3.24	40	1	1
12946	2	1	1.17		1	1
12966	2	1	1.23		1	1
12966	2	1	8.2.1	50 м	1	1
12956	2	2	2.3.1		1	1
13006	2	1	5.20		1	1
13037	1	1	5.16		1	1
13037	2	2	5.16		1	1
13037	2	1	5.19.1		1	1
13037	2	2	5.19.2		1	1
13047	2	2	5.19.1		1	1
13047	1	1	5.19.2		1	1
13057	2	2	3.25		1	1
13088	2	1	3.25		1	1
13090	2	1	1.23		1	1
13090	2	1	3.24	40	1	1
13088	2	2	1.17		1	1
13088	2	2	8.2.1		1	1
13100	2	2	1.23		1	1
13100	2	2	1.17		1	1
13129	2	2	3.24		1	1
13149	2	2	1.23		1	1
13231	2	2	3.24	40	1	1
13231	2	2	1.12.2		1	1
13343	2	2	2.1		1	1
13414	2	2	2.4		1	1
13414	2	2	1.23		1	1
13414	2	2	3.24	40	1	1
13750	2	2	3.24		1	1
14453	2	1	1.12.1		1	1
14707	2	1	2.3.2		1	1
15023	2	1	1.13		1	1
15043	2	2	2.3.3		1	1
15043	2	2	1.12.1		1	1
15145	2	1	1.12.2		1	1
15379	1	1	5.24.1	Губановка	2	1
15379	2	2	5.23.1	Губановка	2	1
15939	2	2	1.13		1	1
15939	2	2	1.12.2		1	1
17639	2	1	1.11.1		1	1
17822	2	1	2.3.3		1	1
17914	2	2	1.11.2		1	1
18820	2	1	5.23.1	Китаевка	2	1
18820	1	2	5.24.1	Китаевка	2	1
18891	1	2	1.11.2		1	1
19204	1	2	1.11.1		1	1
19234	2	2	1.11.1		1	1
19367	2	2	2.3.1		1	1
19418	2	1	3.24	40	1	1
19458	2	2	1.11.2		1	1
19723	2	1	2.1		1	1
19835	2	2	2.1		1	1
19896	2	1	3.24	40	1	1
19916	2	1	1.23		1	1
19947	2	1	3.24	40	1	1
19947	2	1	1.17		1	1
19967	2	2	3.25		1	1
19967	2	1	1.23		1	1
19967	2	1	8.2.1	50 м	1	1
19997	2	1	5.20		1	1
20017	2	1	5.19.1		1	1
20017	2	2	5.19.2		1	1
20027	2	2	5.19.1		1	1
20027	1	1	5.19.2		1	1
20015	2	2	1.23		1	1
20046	2	2	8.2.1		1	1
20046	2	2	1.23		1	1
20056	2	1	3.25		1	1
20066	2	2	1.17		1	1
20066	2	2	3.24	40	1	1
20076	1	1	5.16		9	1
20076	2	2	5.16		9	1
20122	2	2	3.24	40	1	1
20122	2	2	1.23		1	1
20184	2	1	2.3.1		1	1
20316	1	1	5.24.1	Китаевка	2	1
20316	2	2	5.23.1	Китаевка	2	1
20458	2	2	2.3.1		1	1
21207	2	2	2.3.1		1	1
21645	2	1	2.3.1		1	1
22042	2	2	2.3.1		1	1
22625	2	1	1.12.2		1	1
22892	2	1	2.3.1		1	1
23126	2	2	1.12.1		1	1
23970	2	1	1.11.2		1	1
23970	2	1	2.3.2		1	1
23999	2	1	1.20.2	временный	1	3
24115	2	1	6.12	Любицкое 3, Лубянка 1	2	1
24186	2	1	1.12.2		1	1
24492	2	2	3.24	40	1	1
24492	2	2	1.11.1		1	1
24727	2	1	5.23.1	Любицкое	2	1
24727	1	2	5.24.1	Любицкое	2	1
24849	2	2	2.3.2		1	1
25580	2	1	5.16		9	1
25580	1	2	5.16		9	1
26050	2	1	1.11.2		1	1
26304	2	2	1.11.1		1	1
26619	2	1	1.12.1		1	1
27018	2	1	1.11.1		1	1
27312	2	2	1.11.2		1	1
27699	2	1	1.11.1		1	1
28180	2	1	3.24	40	1	1
28200	2	1	1.23		1	1
28230	2	1	1.17		1	1
28230	2	1	3.24	40	1	1
28248	2	2	3.25		1	1
28250	2	1	1.23		1	1
28250	2	1	8.2.1	50 м	1	1
28279	2	1	5.20		1	2
28300	2	1	5.19.1		1	1
28300	2	2	5.19.2		1	1
28310	2	2	5.19.1		1	1
28310	1	1	5.19.2		1	1
28320	2	2	5.20		1	1
28351	2	1	3.25		1	1
28372	2	2	8.2.1	50 м	1	1
28372	2	2	1.23		1	1
28402	2	2	3.24	40	1	1
28402	2	2	1.17		1	1
28422	2	2	1.23		1	1
28465	2	2	3.24	40	1	1
29253	2	1	1.11.2		1	1
29721	2	2	1.11.1		1	1
29998	2	1	1.11.2		1	1
30373	2	2	1.11.1		1	1
30597	2	1	5.23.1	Полный	2	1
30597	1	2	5.24.1	Полный	2	1
31319	2	1	1.11.2		1	1
31838	2	2	1.11.1		1	1
