Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
5280	3	7	135	государственная
7082	3	7	90	государственная
8518	3	7	45	государственная
9770	3	7	90	государственная
9882	3	7	135	государственная
12101	3	7	90	государственная
12630	3	7	90	государственная
12966	3	7	90	государственная
13077	3	7	135	государственная
13129	3	7	135	государственная
14707	3	7	45	государственная
15440	3	7	90	государственная
17934	3	7	90	государственная
18280	2	7	90	государственная
18748	3	7	90	государственная
19102	3	7	90	государственная
19947	3	7	90	государственная
20066	3	7	90	государственная
20336	3	7	90	государственная
21869	3	7	90	государственная
22734	3	7	45	государственная
23194	3	7	45	государственная
25484	3	7	90	государственная
25922	3	7	45	государственная
26050	3	7	45	государственная
26171	3	7	135	государственная
26365	3	7	90	государственная
26447	3	7	90	государственная
26681	3	7	45	государственная
28097	3	7	45	государственная
28148	3	7	90	государственная
28198	3	7	45	государственная
28229	3	7	135	государственная
28239	3	7	90	государственная
28341	5	6	90	государственная
28351	3	7	45	государственная
28433	3	7	90	государственная
28514	3	7	90	государственная
28535	3	7	45	государственная
28998	3	7	90	государственная
31675	3	7	45	государственная
