Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Тип коммуникации	Расстояние от оси дороги начала участка,м	Расстояние от оси дороги конца участка,м
210	1585	1	2	10	20
5311	8518	2	2	5	5
8527	9882	1	2	5	10
10767	12325	1	2	10	30
13139	13241	2	2	10	40
13241	13353	1	2	30	40
13862	14707	2	2	30	30
14707	15277	1	2	10	50
17222	19102	2	2	30	50
17628	18748	1	2	50	20
22490	22724	2	2	30	3
22800	22872	1	2	3	4
23460	24593	1	2	40	7
24746	26171	1	2	7	3
26202	26670	2	2	35	7
28077	28591	1	2	3	8
28066	28642	1	5	6	20
28107	28330	2	5	6	2
