Код дороги	Местоположение, м	Код расположения	Длина трубы, м	Код материала тела трубы	Расстояние от оси проезжей части до трубы на примыкании, м	Код вида перекрываемого препятствия	Код режима протекания воды	Глубина заложения фундамента, м	Код типа основания	Высота насыпи по профилю, м	Высота насыпи над трубой, м	Средний уклон по лотку, ‰	Объем тела трубы, м3	Код изоляции	Год ввода в эксплуатацию	Год последнего кап. ремонта	Код технического состояния	Заиливание (1-да,0-нет)	Раскрытие швов между звеньями (1-да, 0-нет)	Локальные разрушения укрепл. откоса насыпи (1-да, 0-нет)	Размыв русел водотока (1-да, 0-нет)	Высокая трава и древесно-кустарниковая растительность (1-да, 0-нет)	Локальные повреждения оголовков (1-да, 0-нет)	Иные дефекты (1-да, 0-нет)	Дорожная организация, выполнявшая диагностику	Код типа оголовка	Высота оголовка, м	Ширина оголовка, м	Код материала оголовка	Код укрепления русла 	Код укрепления откосов	Поперечное сечение отверстия	Количество отверстий	Диаметр отверстия, м	Высота отверстия, м	Ширина отверстия, м	Толщина стенки трубы, см	Код технического состояния.1	Широта оголовка трубы	Долгота оголовка трубы	Код очертания отверстия трубы 	Код типа оголовка.1	Высота оголовка, м.1	Ширина оголовка, м.1	Код материала оголовка.1	Код укрепления русла .1	Код укрепления откосов.1	Поперечное сечение отверстия.1	Количество отверстий.1	Диаметр отверстия, м.1	Высота отверстия, м.1	Ширина отверстия, м.1	Толщина стенки трубы, см.1	Код технического состояния.2	Широта оголовка трубы.1	Долгота оголовка трубы.1	Код очертания отверстия трубы .1
38 ОП МЗ 38Н-237	29689	11	10.0	1	5.0	4	1			2.1	1.4		11.304				1	1	0	0	0	0	0	0		1	1.8	2.5	3	9.0	9.0	1.1304	1.0	1.2			8.0	3	51.44038	36.16312	1	1	1.8	2.5	3	9.0	9.0	1.1304	1.0	1.2			8.0	3	51.4403	36.16301	1
38 ОП МЗ 38Н-237	24191	13	10.0	1	5.0	4	1			1.7	0.2		2.826				1	1	0	0	0	0	0	0		5			3	9.0	9.0	0.2826	1.0	0.6			6.0	3	51.42429	36.2359	1	5			3	9.0	9.0	0.2826	1.0	0.6			6.0	3	51.42429	36.23605	1
38 ОП МЗ 38Н-237	21621	13	15.0	1	7.5	4	1			2.15	1.6		4.239				1	1	0	0	0	0	0	0		1	0.8	1.3	3	9.0	9.0	0.2826	1.0	0.6			6.0	2	51.42862	36.26854	1	1	0.8	1.3	3	9.0	9.0	0.2826	1.0	0.6			6.0	2	51.42858	36.26881	1
38 ОП МЗ 38Н-237	20597	11	15.0	1	7.5	4	2			4.2	3.0		11.775				1	1	0	0	0	0	0	0		2	2.5	8.6	3	9.0	9.0	0.785	4.0	1.0				1	51.43713	36.27241	1	2	2.5	8.6	3	9.0	9.0	0.785	4.0	1.0				1	51.43708	36.27263	1
38 ОП МЗ 38Н-237	19760	11	15.0	1	7.5	4	1			2.66	1.6		11.775				1	1	0	0	0	0	0	0		2	1.8	4.0	3	9.0	9.0	0.785	1.0	1.0			8.0	1	51.44354	36.27861	1	2	1.8	4.0	3	9.0	9.0	0.785	1.0	1.0			8.0	1	51.44361	36.27871	1
38 ОП МЗ 38Н-237	19756	12	10.0	1	5.0	4	1			1.55	1.3		1.9625000000000001				1	1	0	0	1	0	0	0		1	1.2	1.8	3	9.0	9.0	0.19625	1.0	0.5			7.0	3	51.4434	36.27905	1	1	1.2	1.8	3	9.0	9.0	0.19625	1.0	0.5			7.0	3	51.44349	36.27909	1
38 ОП МЗ 38Н-237	19431	13	10.0	1	5.0	4	1			1.7	1.5		1.9625000000000001				1	1	0	0	0	0	0	0		1	1.2	1.6	3	9.0	9.0	0.19625	1.0	0.5			7.0	3	51.44598	36.28127	1	1	1.2	1.6	3	9.0	9.0	0.19625	1.0	0.5			7.0	3	51.44608	36.28133	1
38 ОП МЗ 38Н-237	19430	13	10.0	1	5.0	4	1			1.06	0.7		1.9625000000000001				1	1	0	0	0	0	0	0		1	1.0	1.6	3	9.0	9.0	0.19625	1.0	0.5			6.0	3	51.44609	36.28099	1	1	1.0	1.8	3	9.0	9.0	0.19625	1.0	0.5			6.0	3	51.44617	36.28103	1
38 ОП МЗ 38Н-237	19292	12	10.0	1	5.0	4	1			1.04	0.4		1.9625000000000001				1	1	0	0	0	0	0	0		1	1.0	1.6	3	9.0	9.0	0.19625	1.0	0.5			6.0	2	51.4472	36.28188	1	1	1.0	1.6	3	9.0	9.0	0.19625	1.0	0.5			6.0	2	51.44719	36.28218	1
38 ОП МЗ 38Н-237	18622	11	20.0	1	10.0	4	2			2.8	1.4		22.608				1	1	0	0	0	0	0	0		2	3.0	11.0	3	3.0	3.0	1.1304	4.0	1.2			9.0	1	51.45296	36.28417	1	2	2.5	10.5	3	3.0	3.0	1.1304	4.0	1.2			9.0	1	51.4529	36.2844	1
38 ОП МЗ 38Н-237	17512	11	15.0	1	7.5	4	1			2.95	1.7		16.956				1	1	0	0	1	1	0	0		2	1.7	3.0	3	9.0	9.0	1.1304	1.0	1.2			9.0	3	51.46067	36.29411	1	2	2.4	3.6	3	9.0	9.0	1.1304	1.0	1.2			9.0	3	51.46055	36.29428	1
38 ОП МЗ 38Н-237	16289	11	15.0	1	7.5	4	1			2.1	1.0		11.775				1	1	0	0	0	0	0	0		2	1.6	3.2	3	9.0	9.0	0.785	1.0	1.0			7.0	1	51.46754	36.30745	1	2	1.6	3.2	3	9.0	9.0	0.785	1.0	1.0			7.0	1	51.46741	36.30771	1
