Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Кол-во опор освещения, шт.	Кол-во светильников, шт.	Код характеристики участка	Самостоятельная или в составе дороги	Протяженность, км	Инвентарный номер	Наименование	Год ввода в эксплуатацию	Кадастровый номер	Дата кадастра	Номер регистрации права собственности	Дата регистрации права собственности	Документы - основания возникновения  права собственности	Номер права оперативного управления 	Дата регистрации права оперативного управления 	Документы - основания возникновения права оперативного управления 	Балансовая стоимость, руб	Остаточная стоимость по состоянию на 01 января текущего года, руб
13037	13047	1	1	1	1		0.01													
13037	13047	2	1	1	1		0.01													
20017	20017	2	1	1	1															
20027	20027	1	1	1	1															
25453	25453	1	1	1	1															
26039	26039	1	1	1	1															
28108	28504	1	14	6	1		0.396													
28300	28300	2	1	1	5															
28310	28310	1	1	1	5															
28402	28596	1	7	3	1		0.194													
