Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	200	1	2	2	5
200	251	1	2	2	3
251	312	1	2	2	5
312	842	1	2	2	5
842	862	1	2	2	3
862	1688	1	2	2	5
1688	1707	1	2	2	3
1707	1921	1	2	2	5
1921	1972	1	2	2	3
1972	4153	1	2	2	5
4153	4171	1	2	2	3
4171	7052	1	2	2	5
7052	7070	1	2	2	3
7070	7092	1	2	2	5
7092	7115	1	2	2	3
7115	8520	1	2	2	5
8520	8530	1	2	2	3
8530	9586	1	2	2	5
9586	9597	1	2	2	3
9597	10274	1	2	2	5
10274	10294	1	2	2	3
10294	10808	1	2	2	5
10808	10835	1	2	2	3
10835	10960	1	2	2	5
10960	10970	1	2	2	3
10970	12300	1	2	2	5
12300	12311	1	2	2	3
12311	12626	1	2	2	5
12626	12638	1	2	2	3
12638	12961	1	2	2	5
12961	12971	1	2	2	3
12971	12981	1	2	2	5
12981	12993	1	2	2	3
12993	13027	1	2	2	5
13027	13047	1	2	2	3
13047	13108	1	2	2	5
13108	13129	1	2	2	3
13129	13261	1	2	2	5
13261	13272	1	2	2	3
13272	13322	1	2	2	5
13322	13333	1	2	2	3
13333	13343	1	2	2	5
13343	13353	1	2	2	3
13353	13374	1	2	2	5
13374	13394	1	2	2	3
13394	15155	1	2	2	5
15155	15155	1	2	2	3
15155	15755	1	2	2	5
15755	15765	1	2	2	3
15765	17930	1	2	2	5
17930	17960	1	2	2	3
17960	19021	1	2	2	5
19021	19031	1	2	2	3
19031	19102	1	2	2	5
19102	19113	1	2	2	3
19113	19367	1	2	2	5
19367	19378	1	2	2	3
19378	19525	1	2	2	5
19525	19540	1	2	2	3
19540	19733	1	2	2	5
19733	19754	1	2	2	3
19754	19930	1	2	2	5
19930	19938	1	2	2	3
19938	19987	1	2	2	5
19987	20025	1	2	2	3
20025	20066	1	2	2	5
20066	20117	1	2	2	3
20117	20341	1	2	2	5
20362	20520	1	2	2	5
20525	20565	1	2	2	5
20565	20575	1	2	2	3
20575	21013	1	2	2	5
21013	21024	1	2	2	3
21024	21818	1	2	2	5
21818	21839	1	2	2	3
21839	22200	1	2	2	5
22215	22770	1	2	2	5
22770	22780	1	2	2	3
22780	23052	1	2	2	5
23052	23072	1	2	2	3
23072	23440	1	2	2	5
23440	23448	1	2	2	3
23448	23597	1	2	2	5
23597	23605	1	2	2	3
23605	24578	1	2	2	5
24578	24589	1	2	2	3
24589	24569	1	2	2	5
24669	25683	1	2	2	5
25683	25693	1	2	2	3
25693	25900	1	2	2	5
25900	25907	1	2	2	3
25907	26380	1	2	2	5
26380	26391	1	2	2	3
26391	26523	1	2	2	5
26523	26533	1	2	2	3
26533	26880	1	2	2	5
26880	26910	1	2	2	3
26910	27001	1	2	2	5
27001	27012	1	2	2	3
27012	27159	1	2	2	5
27159	27179	1	2	2	3
27179	27930	1	2	2	5
27930	28036	1	2	2	3
28036	28168	1	2	2	5
28168	28330	1	2	2	3
28330	28382	1	2	2	5
28382	28395	1	2	2	3
28395	28405	1	2	2	5
28405	28412	1	2	2	3
28412	28616	1	2	2	5
28616	28627	1	2	2	3
28627	28647	1	2	2	5
28647	28657	1	2	2	3
28657	28993	1	2	2	5
28993	28995	1	2	2	3
28995	29609	1	2	2	5
29609	29629	1	2	2	3
29629	31878	1	2	2	5
31878	31898	1	2	2	3
31898	31951	1	2	2	5
31951	31961	1	2	2	3
31961	31995	1	2	2	5
0	169	2	2	2	5
169	180	2	2	2	3
180	200	2	2	2	5
200	434	2	2	2	5
434	536	2	2	2	5
536	2501	2	2	2	5
2501	2521	2	2	2	3
2521	4171	2	2	2	5
4171	4185	2	2	2	3
4185	6023	2	2	2	5
6023	6034	2	2	2	3
6034	7115	2	2	2	5
7115	7125	2	2	2	3
7125	7887	2	2	2	5
7887	7897	2	2	2	3
7897	8500	2	2	2	5
8500	8523	2	2	2	3
8523	9490	2	2	2	5
9490	9500	2	2	2	3
9500	10142	2	2	2	5
10142	10151	2	2	2	3
10151	10274	2	2	2	5
10274	10294	2	2	2	3
10294	10730	2	2	2	5
10730	10745	2	2	2	3
10745	10940	2	2	2	5
10940	10950	2	2	2	3
10950	11701	2	2	2	5
11701	11716	2	2	2	3
11716	12075	2	2	2	5
12075	12080	2	2	2	3
12080	12300	2	2	2	5
12311	12626	2	2	2	5
12626	12638	2	2	2	3
12638	12962	2	2	2	5
12962	12980	2	2	2	3
12980	13006	2	2	2	5
12045	13282	2	2	2	5
13290	13460	2	2	2	5
13460	13472	2	2	2	3
13472	13704	2	2	2	5
13704	13712	2	2	2	3
13712	13796	2	2	2	5
13796	13807	2	2	2	3
13807	13960	2	2	2	5
13960	13969	2	2	2	3
13969	14140	2	2	2	5
14140	14030	2	2	2	3
14030	14280	2	2	2	5
14280	14285	2	2	2	3
14285	14835	2	2	2	5
14835	14845	2	2	2	3
14845	15108	2	2	2	5
15108	15115	2	2	2	3
15115	15408	2	2	2	5
15408	15411	2	2	2	3
15411	16091	2	2	2	5
16091	16101	2	2	2	3
16101	16204	2	2	2	5
16204	16215	2	2	2	3
16215	17649	2	2	2	5
17649	17655	2	2	2	3
17655	18510	2	2	2	5
18510	18525	2	2	2	3
18525	18865	2	2	2	5
18865	18875	2	2	2	3
18875	19120	2	2	2	5
19120	19133	2	2	2	3
19133	19367	2	2	2	5
19367	19378	2	2	2	3
19378	19525	2	2	2	5
19525	19540	2	2	2	3
19540	19622	2	2	2	5
19622	19633	2	2	2	3
19633	19745	2	2	2	5
19745	19760	2	2	2	3
19760	19930	2	2	2	5
19930	19938	2	2	2	3
19938	19987	2	2	2	5
19987	20055	2	2	2	3
20055	20080	2	2	2	5
20080	20087	2	2	2	3
20087	20311	2	2	2	5
20311	20323	2	2	2	3
20323	21013	2	2	2	5
21013	21024	2	2	2	3
21024	21869	2	2	2	5
21869	21880	2	2	2	3
21880	22535	2	2	2	5
22535	22539	2	2	2	3
22539	22975	2	2	2	5
22975	22983	2	2	2	3
22983	23494	2	2	2	5
23494	23505	2	2	2	3
23505	24135	2	2	2	5
24135	24176	2	2	2	3
24176	25581	2	2	2	5
25581	25592	2	2	2	3
25592	25165	2	2	2	5
25165	26207	2	2	2	3
26207	26780	2	2	2	5
26798	27930	2	2	2	5
27930	28036	2	2	2	3
28036	28258	2	2	2	5
28351	28487	2	2	2	5
28487	28490	2	2	2	3
28490	28861	2	2	2	5
28861	28871	2	2	2	3
28871	28953	2	2	2	5
28953	28962	2	2	2	3
28962	28988	2	2	2	5
28988	28998	2	2	2	3
28998	29130	2	2	2	5
29130	29141	2	2	2	3
29141	29375	2	2	2	5
29375	29385	2	2	2	3
29385	29629	2	2	2	5
29629	29639	2	2	2	3
29639	29842	2	2	2	5
29842	29853	2	2	2	3
29853	30006	2	2	2	5
30016	30865	2	2	2	5
30865	30873	2	2	2	3
30873	31675	2	2	2	5
31675	31695	2	2	2	3
31695	31995	2	2	2	5
