Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
179	546	1	2
179	10146	2	2
546	8538	1	1
8538	10075	1	2
10075	10787	1	1
10146	10299	2	13
10299	10787	2	1
10787	12570	2	1
10787	11134	1	4
11134	12447	1	2
12447	13410	1	13
12570	13410	2	13
13410	18413	1	2
13410	15613	2	4
15613	16651	2	1
16651	18413	2	2
18413	19367	1	4
18413	19367	2	4
19367	20122	1	13
19367	20122	2	13
20122	20611	1	2
20122	20611	2	2
20611	21289	1	13
20611	21028	2	1
21028	21289	2	2
21289	21635	1	4
21289	21635	2	4
21635	23450	1	2
21635	25332	2	2
23450	27007	1	13
25332	26212	2	13
26212	28036	2	2
27007	27169	1	1
27169	28036	1	2
28036	28713	1	13
28036	28713	2	13
28713	31600	1	2
28713	29721	2	2
29721	29843	2	4
29843	31003	2	2
31003	31868	2	4
31600	31995	1	7
31868	31995	2	7
