Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
847	1	в поле	0	0	0	1	6				0	0	0	2	2	12	90	2		
1692	1	в поле	0	0	0	2	6				0	0	0	6	2	12	90	2		
1946	1	"Крым - Полный - ""Крым"" - Полевая"" - Чермошное"	0	0	0	1	6				0	0	0	6	3	18	90	2		
2506	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
4176	6	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
6018	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
7098	6	"Крым-Полный-""Крым""-Полевая""-Чермошное-""Крым""-Полный-""Крым""-Полевая"""	0	0	0	1	6				0	0	0	2	3	18	90	2		
7892	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
8502	2	"Крым - Полный - ""Крым"" - Полевая"" - Буды"	0	0	0	1	6				0	0	0	2	3	18	90	2		
8523	1	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
9490	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
10142	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
10274	6	"Крым - Полный - ""Крым"" - Полевая"" - Вышний Дубовец - граница Обоянского района"	0	0	0	1	6				0	0	0	2	6	36	90	2		
10813	1	к храму	0	0	0	2	6				0	0	0	6	2	12	90	2		
10956	6	к храму	0	0	0	1	6				0	0	0	2	3	18	90	2		
11709	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
12076	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
12300	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
12626	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
12981	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
13011	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
13114	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
13379	1	в поле	0	0	0	2	6				0	0	0	6	2	12	90	2		
13704	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
13796	2	к домам	0	0	0	2	6				1	0	0	6	2	12	90	2		
14142	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
14284	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
14834	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
15109	2	к домам	0	0	0	1	6				0	0	0	2	2	12	90	2		
15760	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
16208	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
16616	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
17580	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
17654	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
17939	1	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
18520	2	к кладбищу	0	0	0	1	6				0	0	0	2	2	12	90	2		
18865	2	к домам	0	0	0	2	6				0	0	0	6	2	12	90	3		
19026	1	к ангарам	0	0	0	2	6				0	0	0	6	2	12	135	2		
19107	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
19362	6	"Крым - Полный - ""Крым"" - Полевая"" - 2-я Китаевка Зеленая Степь"	0	0	0	1	6				0	0	0	2	4	24	90	2		
19525	6	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
19748	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
19932	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
20316	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
20346	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
21018	6	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
21818	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
21879	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
22775	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
23057	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
24150	2	"Крым - Полный - ""Крым"" - Полевая"" - Шумовка с подъездом к с. Любимовка"	0	0	0	1	6				0	0	0	2	6	36	90	2		
24578	1	к храму	0	0	0	6	6				0	0	0	6	2	12	90	2		
24659	1	к храму	0	0	0	1	6				1	0	0	2	3	18	90	2		
26787	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
26890	1	к ангарам	0	0	0	6	6				0	0	0	6	2	12	90	2		
28020	6	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
28988	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
29131	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
30016	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
31695	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
