Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	63	1	2	2	3
63	726	1	2	2	5
726	907	1	2	2	3
907	1201	1	2	2	5
1201	1170	1	2	2	3
1170	1220	1	2	2	5
1220	3150	1	2	2	5
0	63	2	2	2	5
63	77	2	2	2	3
77	95	2	2	2	5
95	100	2	2	2	3
100	277	2	2	2	5
277	285	2	2	2	3
285	293	2	2	2	5
293	300	2	2	2	3
300	726	2	2	2	5
726	907	2	2	2	3
907	950	2	2	2	5
950	950	2	2	2	3
950	1072	2	2	2	5
1072	1082	2	2	2	3
1082	1192	2	2	2	5
1192	1210	2	2	2	3
1210	1360	2	2	2	5
1360	1370	2	2	2	3
1370	1385	2	2	2	5
1385	1501	2	2	2	3
1501	1990	2	2	2	5
1990	1995	2	2	2	5
1995	2020	2	2	2	5
2020	2037	2	2	2	5
2037	3059	2	2	2	5
3059	3069	2	2	2	5
3069	3150	2	2	2	5
