Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	518	1	2	2	5
518	521	1	2	2	3
521	603	1	2	2	5
603	730	1	2	2	3
730	833	1	2	2	5
833	836	1	2	2	3
836	839	1	2	2	5
839	844	1	2	2	3
844	1424	1	2	2	5
1424	1434	1	2	2	3
1434	2232	1	2	2	6
2232	2240	1	2	2	5
2240	2273	1	2	2	6
2273	2283	1	2	2	5
2283	3573	1	2	2	6
3573	3580	1	2	2	5
3580	3596	1	2	2	6
0	603	2	2	2	5
603	730	2	2	2	3
730	1940	2	2	2	5
1940	1971	2	2	2	3
1971	2435	2	2	2	6
2435	2438	2	2	2	5
2438	3573	2	2	2	6
3573	3580	2	2	2	5
3580	3596	2	2	2	6
