Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	300	300	3
50	100	300	300	3
100	150	300	300	3
150	200	300	300	3
200	250	300	300	3
250	300	300	300	3
300	350	300	300	3
350	400	300	300	3
400	450	300	300	3
450	500	300	300	3
500	550	300	300	3
550	600	300	300	3
600	650	300	300	3
650	700	300	300	3
700	750	300	300	3
750	800	300	300	3
800	850	300	300	3
850	900	300	300	3
900	950	300	300	3
950	1000	300	300	3
1000	1050	300	300	3
1050	1100	300	300	3
1100	1150	300	300	3
1150	1200	300	300	3
1200	1250	300	300	3
1250	1300	300	300	3
1300	1350	300	300	3
1350	1400	300	300	3
1400	1450	300	300	3
1450	1500	300	300	3
1500	1550	300	300	3
1550	1600	300	300	3
1600	1650	300	300	3
1650	1700	300	300	3
1700	1750	300	300	3
1750	1800	300	300	3
1800	1850	300	300	3
1850	1900	300	300	3
1900	1950	300	300	3
1950	2000	300	300	3
2000	2050	300	300	3
2050	2100	300	300	3
2100	2150	300	300	3
2150	2200	300	300	3
2200	2250	750	100	1
2250	2300	750	100	1
2300	2350	750	100	1
2350	2400	750	100	1
2400	2450	750	100	1
2450	2500	750	100	1
2500	2550	750	100	1
2550	2600	750	100	1
2600	2650	750	100	1
2650	2700	750	100	1
2700	2750	750	100	1
2750	2800	750	100	1
2800	2850	750	100	1
2850	2900	750	100	1
2900	2950	750	100	1
2950	3000	750	100	1
3000	3050	750	100	1
3050	3100	750	100	1
3100	3150	750	100	1
3150	3200	750	100	1
3200	3250	750	100	1
3250	3300	750	100	1
3300	3350	750	100	1
3350	3400	750	100	1
3400	3450	750	100	1
3450	3500	750	100	1
3500	3550	750	100	1
3550	3600	750	100	1
