Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	4.36	15.46						
200.0	300.0	4.99	12.78						
300.0	400.0	4.6	10.69						
400.0	500.0	3.99	8.02						
500.0	600.0	3.82	7.14						
600.0	700.0	4.55	7.67						
700.0	800.0	4.94	8.62						
800.0	900.0	4.61	7.53						
900.0	1000.0	5.41	8.94						
1000.0	1100.0	5.56	6.68						
1100.0	1200.0	4.45	4.81						
1200.0	1300.0	5.68	6.36						
1300.0	1400.0	2.83	6.31						
1400.0	1500.0	4.0	6.03						
1500.0	1600.0	5.76	5.16						
1600.0	1700.0	0.0	5.42						
1700.0	1800.0	9.22	5.44						
1800.0	1859.812	0.0	0.0						
