Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	487	1	2	2	5
487	505	1	2	2	3
505	893	1	2	2	5
893	904	1	2	2	3
904	974	1	2	2	5
974	984	1	2	2	3
984	1116	1	2	2	5
1116	1128	1	2	2	3
1128	1259	1	2	2	5
1259	1279	1	2	2	3
1279	1534	1	2	2	5
1534	1544	1	2	2	3
1544	1564	1	2	2	5
1564	1575	1	2	2	3
1575	1843	1	2	2	5
0	498	2	2	2	5
498	505	2	2	2	3
505	910	2	2	2	5
910	917	2	2	2	3
917	964	2	2	2	5
964	974	2	2	2	3
974	1065	2	2	2	5
1065	1096	2	2	2	3
1096	1155	2	2	2	5
1155	1165	2	2	2	3
1165	1259	2	2	2	5
1259	1279	2	2	2	3
1279	1411	2	2	2	5
1411	1434	2	2	2	3
1434	1534	2	2	2	5
1534	1577	2	2	2	3
1577	1615	2	2	2	5
1615	1623	2	2	2	3
1623	1843	2	2	2	5
