Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	500	4
50	100	750	500	4
100	150	750	500	4
150	200	750	500	4
200	250	750	500	4
250	300	750	500	4
300	350	750	500	4
350	400	750	500	4
400	450	750	500	4
450	500	750	500	4
500	550	750	500	4
550	600	750	500	4
600	650	200	200	3
650	700	200	200	3
700	750	750	300	1
750	800	750	300	1
800	850	750	300	1
850	900	750	300	1
900	950	750	300	1
950	1000	750	300	1
1000	1050	750	300	1
1050	1100	750	300	1
1100	1150	750	300	1
1150	1200	750	300	1
1200	1250	750	300	1
1250	1300	750	300	1
1300	1350	750	300	1
1350	1400	750	300	1
1400	1450	750	300	1
1450	1500	750	300	1
1500	1550	750	100	2
1550	1600	750	100	2
1600	1650	750	100	2
1650	1700	750	100	2
1700	1750	750	100	2
1750	1800	750	100	2
1800	1838	750	100	2
