Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
2838.0	2900.0	0.0	4.71						
2900.0	3000.0	5.81	5.18						
3000.0	3100.0	6.82	4.19						
3100.0	3200.0	8.61	4.8						
3200.0	3300.0	5.23	4.37						
3300.0	3400.0	5.0	4.23						
3400.0	3500.0	5.41	3.85						
3500.0	3600.0	6.55	3.47						
3600.0	3700.0	6.76	3.88						
3700.0	3800.0	6.74	3.43						
3800.0	3900.0	4.49	4.36						
3900.0	4000.0	4.9	3.68						
4000.0	4100.0	7.6	4.09						
4100.0	4200.0	3.76	4.43						
4200.0	4300.0	3.97	5.16						
4300.0	4341.005								
