Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	300	300	3
50	100	300	300	3
100	150	300	300	3
150	200	300	300	3
200	250	300	300	3
250	300	300	300	3
300	350	300	300	3
350	400	300	300	3
400	450	300	300	3
450	500	300	300	3
500	550	300	300	3
550	600	300	300	3
600	650	300	300	3
650	700	300	300	3
700	750	300	300	3
750	800	300	300	3
800	850	300	300	3
850	900	300	300	3
900	950	300	300	3
950	1000	300	300	3
1000	1050	300	300	3
1050	1100	300	300	3
1100	1150	300	300	3
1150	1200	300	300	3
1200	1250	300	300	3
1250	1300	300	300	3
1300	1350	300	300	3
1350	1400	300	300	3
1400	1450	300	300	3
1450	1500	300	300	3
